Subject,Object
Klautzke-See und Waldmoore mit Kobbelke,Klautzkesee und Waldmoore mit Kobbelke
Bagno mit Steinfurter Aa,Am Bagno – Buchenberg
Auf dem Bockshorn,Bockshorn
Sieg,Silikatfelsen an der Sieg
Wummsee und Twernsee,Wumm-See und Twern-See
Baumberge,Baumberge
"Lusebredde, Hellinghäuser Wiesen und Klostermersch",Lippeaue
"Lusebredde, Hellinghäuser Wiesen und Klostermersch",Lippeaue
Bergwerk Thülen,Fledermausstollen am Thülener Stein
Bergwiesen Lippe mit Buchheller- und Mischebachtal,Unteres Buchhellertal
Bergwiesen Lippe mit Buchheller- und Mischebachtal,Unteres Buchhellertal
Berkel,Berkelaue
