Subject,Object
Nachtlied,D major
Hallelujah Chorus,D major
"Symphonies, no. 2, op. 11, D major",D major
Symphony No. 1,F major
"Symphonies, no. 1, op. 7, F minor",F minor
Embraceable You,G major
A Cambridge Mass,G major
When We Were Young,C minor
Requiem in C minor,C minor
SWLABR,E minor
Missa in honorem Sanctissimae Trinitatis,C major
Do They Know It's Christmas?,C major
Sunshine of Your Love,D minor
Harmoniemesse,B-flat major
Missa brevis Sancti Joannis de Deo,B-flat major
On the Floor,E-flat minor
