Subject,Object
Rustavi,Gdynia
Osorno,Bariloche
Puerto Montt,Bariloche
Osorno,Bariloche
Puerto Montt,Bariloche
Emmerich am Rhein,King's Lynn
Valdivia,Hamburg
Valdivia,Hamburg
Ogre,Hengelo
Cabo San Lucas,Newport Beach
Schönwald,Pusignan
Naha,Honolulu County
Milwaukie,Iwaki
Milwaukie,Iwaki
Milwaukie,Iwaki
Boden Municipality,Oulu
Boden Municipality,Alta
Salacgrīva,Nyköping
Kristianstad Municipality,Koszalin
Kristianstad Municipality,Køge
Viveiro,Lannion
Viveiro,Lannion
Holon,Oviedo
Holon,Oviedo
Corvallis,Uzhhorod
Arad,Burlington
Redcar and Cleveland,Troisdorf
Temuco,Stavropol
Temuco,Stavropol
Batumi,Paphos
Batumi,Sharm el-Sheikh
Savannah,Batumi
Savannah,Halle (Saale)
Newberg,Poysdorf
Yavne,Speyer
Yavne,Speyer
Salem,Simferopol
Salem,Simferopol
Gütersloh,Grudziądz
Lünen,Bartın
Gifu Prefecture,Kagoshima Prefecture
Iserlohn,Almelo
Eugene,Kathmandu
Windsor and Maidenhead,Kortrijk
Windsor and Maidenhead,Goslar
Kuressaare City,Mariehamn
Ōita,Atami
Ōita,Aveiro
Obihiro,Chaoyang
Iquique,La Paz
Marietta,Heredia
Mõisaküla City,Mikkeli
Aomori Prefecture,Maine
Mito,Anaheim
Přibyslav,Mook en Middelaar
Graz,Ljubljana
Graz,Ljubljana
Klamath Falls,Rotorua
North East Lincolnshire,Königswinter
Valparaíso,Melaka City
Valparaíso,Melaka City
Gori,Lutsk
Krāslava,Hakkâri
Beaverton,Birobidzhan
Askersund Municipality,Jordanów
Kempten,Trento
Dobele,Bryansk
Bocholt,Bocholt
Valka,Weißenburg in Bayern
Valga City,Radviliškis
Offenbach am Main,Oryol
Kanagawa Prefecture,Baden-Württemberg
Viña del Mar,Mexico City
Macon,Ulyanovsk
Gresham,Ebetsu
Fukushima,Stadtbergen
Kagoshima,City of Perth
Kagoshima,Tsuruoka
Saue City,Sollentuna Municipality
Lund Municipality,Dalvík
Lund Municipality,Zabrze
Lund Municipality,Viborg
Nagasaki,San Isidro
Kiryat Ata,Reinickendorf
Corrientes,La Rochelle
Chiba,North Vancouver
Shizuoka,Muroran
Borgholm Municipality,Zelenogradsk
Bend,Belluno
Tiberias,Milwaukee
Tiberias,Milwaukee
Raspenava,Bischofswerda
Salaspils,Dzierzgoń
Himeji,Taiyuan
Trutnov,Würzburg
Takehara,Damyang County
Posadas,Ravenna
Posadas,Ravenna
Gothenburg Municipality,Aarhus
Gothenburg Municipality,Shanghai
Gothenburg Municipality,Lyon
Gothenburg Municipality,Shanghai
Tokushima,Dandong
Akita,St. Cloud
Akita,Kenai Peninsula Borough
La Serena,Madrid
Gunma Prefecture,São Paulo
Saldus,Stargard
