Subject,Object
V* V653 Sco,Mira variable
QV Andromedae,Alpha² Canum Venaticorum variable
HD 204411,Alpha² Canum Venaticorum variable
4 Ceti,Alpha² Canum Venaticorum variable
Gamma Capricorni,Alpha² Canum Venaticorum variable
Alpha² Canum Venaticorum,Alpha² Canum Venaticorum variable
Gamma Capricorni,Alpha² Canum Venaticorum variable
V* V504 Cen,slow irregular variable
Zeta Phoenicis,eclipsing binary star
Mintaka,eclipsing binary star
TYC 5518-774-1,eclipsing binary star
1SWASP J011732.10+525204.9,eclipsing binary star
1SWASP J222514.69+361643.0,eclipsing binary star
1SWASP J160202.07+121213.5,eclipsing binary star
Epsilon Coronae Australis,eclipsing binary star
V* V423 Tau,eclipsing binary star
V* VW CMa,eclipsing binary star
V* QU CMa,eclipsing binary star
V* WZ Sex,eclipsing binary star
V* EV Vul,eclipsing binary star
V* GN Sge,eclipsing binary star
SV* HV 877,cepheid variable
D33 J013421.3+304537.1,cepheid variable
[KMW87] Q11994,cepheid variable
[KMW87] P22263,cepheid variable
[KMW87] Q21314,cepheid variable
[SS2011b] F2-16084,cepheid variable
D33 J013355.3+304343.5,cepheid variable
[LKS2002] C174,cepheid variable
D33 J013355.0+304643.2,cepheid variable
D33 J013352.1+304702.9,cepheid variable
[KMW87] P14523,cepheid variable
D33 J013335.6+303649.2,cepheid variable
D33 J013415.9+304612.7,cepheid variable
26 Canis Majoris,slowly pulsating B star
18 Ursae Majoris,Delta Scuti variable
59 Orionis,Delta Scuti variable
Alcyone,Delta Scuti variable
Alpha Caeli,Delta Scuti variable
28 Cancri,Delta Scuti variable
DCMC J052554.90-694353.8,long period variable
OGLE LMC-LPV-64293,long period variable
V* QW Tau,flare star
V* PS Tau,flare star
V* V346 Tau,flare star
V* MM Tau,flare star
OGLE SMC-SC9 73218,classical Cepheid variable
SV* HV 2031,classical Cepheid variable
OGLE SMC-SC9 27258,classical Cepheid variable
V1135 Scorpii,R Coronae Borealis variable
DY Centauri,R Coronae Borealis variable
UW Cen,R Coronae Borealis variable
OGLE LMC-SC8 151063,R Coronae Borealis variable
G 75-30,rotating variable star
G 253-6,rotating variable star
BD+08 102,rotating variable star
LP 98-79,rotating variable star
VB 10,rotating variable star
L 1159-16,rotating variable star
Gliese 174,rotating variable star
40 Eridani A,rotating variable star
HD 89744,rotating variable star
HAT-P-7,rotating variable star
Kepler-20,rotating variable star
Kepler-10,rotating variable star
Kepler-20,rotating variable star
KOI-2711,rotating variable star
KOI-2585,rotating variable star
KOI-2498,rotating variable star
KOI-2443,rotating variable star
LP 229-30,rotating variable star
G 169-29,rotating variable star
LP 275-68,rotating variable star
LP 377-100,rotating variable star
G 130-68,rotating variable star
Ross 776,rotating variable star
G 210-2,rotating variable star
G 115-42,rotating variable star
V* CW UMa,rotating variable star
LP 625-34,rotating variable star
G 29-69,rotating variable star
G 68-5,rotating variable star
V* AA Cnc,rotating variable star
V* V857 Cen,rotating variable star
Wolf 1494,rotating variable star
Alpha Librae,BY Draconis variable
Gamma Leporis,BY Draconis variable
Gumala,BY Draconis variable
Rho Geminorum,BY Draconis variable
