Subject,Object
Underdogs,Rupert Grint
Kyoko Kirigiri,Yōko Hikasa
Kyoko Kirigiri,Yōko Hikasa
Closed Mondays,Holly Johnson
Wallace & Gromit: The Curse of the Were-Rabbit,Ralph Fiennes
Wallace & Gromit: The Curse of the Were-Rabbit,Peter Kay
Wallace & Gromit: The Curse of the Were-Rabbit,Liz Smith
Wallace & Gromit: The Curse of the Were-Rabbit,Helena Bonham Carter
Wallace & Gromit: The Curse of the Were-Rabbit,Ralph Fiennes
Kazuo Saki,Pat Fraley
Barney Stockman,Pat Fraley
Moana,Dwayne Johnson
Moana,Sisa Grey
Beyond the Sea,Lisa Bowerman
Trolls,Jason Schwartzman
Zootopia,"Tom Lister, Jr."
Zootopia,Jesse Corti
Zootopia,Josh Dallas
Zootopia,Tommy Chong
Zootopia,Idris Elba
Angel,Carrie Keranen
Patterns of Force,Manfred Petersen
The Galileo Seven,Rose-Marie Kirstein
Patterns of Force,Ilona Grandke
The City on the Edge of Forever,Ilona Grandke
Patterns of Force,Ilona Grandke
The City on the Edge of Forever,Ilona Grandke
Patterns of Force,Herbert Weicker
The Galileo Seven,Herbert Weicker
The City on the Edge of Forever,Herbert Weicker
Cars 3,Paul Newman
How to Train Your Dragon 2,T.J. Miller
How to Train Your Dragon 2,Christopher Mintz-Plasse
How to Train Your Dragon 2,Kit Harington
How to Train Your Dragon 2,Jay Baruchel
How to Train Your Dragon 2,Jonah Hill
The Boy That Time Forgot,Sarah Sutton
The Boy That Time Forgot,Peter Davison
The Boy That Time Forgot,Andrew Sachs
Smallville,Terence Stamp
Träume,Erich Schellow
House,Julia Kaufmann
Yuno Gasai,Jodie Blank
Yuno Gasai,Jodie Blank
A Dangerous Game,Ruth Poelzig
A Dangerous Game,Ludwig Linkmann
A Dangerous Game,Kurt Master
A Dangerous Game,Rudolf Fenner
A Dangerous Game,Paul Bildt
Slow Start,Rikiya Koyama
Slow Start,Mao Ichimichi
Uchi no Maid ga Uzasugiru!,Mao Ichimichi
Chicken Run,Phil Daniels
Chicken Run,Tony Haygarth
Chicken Run,Miranda Richardson
Chicken Run,Mel Gibson
Chicken Run,Mel Gibson
Chicken Run,Phil Daniels
Zach,Rob Paulsen
Jobcenter,Nele Rosetz
Jobcenter,Lisa Hrdina
Jobcenter,Heikko Deutschmann
Jobcenter,Mark Waschke
Golden Kamuy,Tomoaki Maeno
After the Rain,Tomoaki Maeno
Hakata Tonkotsu Ramens,Tomoaki Maeno
Hakata Tonkotsu Ramens,Masaya Matsukaze
Hakata Tonkotsu Ramens,Daisuke Hirakawa
Golden Kamuy,Wataru Hatano
