Subject,Object
Bee,15
Major Nanney,43
Bee,43
Pacific,103
Pacific,103
Pacific,103
Fairy,240
Albatross,18
Albatross,18
Lake Neuchâtel,14000
Lake Neuchâtel,14000
Summer Cloud,91
Swallow,91
Swallow,91
Bristol Trader,30
Amity,51
Anna Maria,70
Ada & Alice,48
Lake Constance,48
Acorn,112
Acorn,112
John & Ann,46
Prima Donna,130
Prima Donna,130
Heart of Oak,34
Atalanta,34
Conovium,34
Dovey Belle,84
Dovey Belle,84
Lake Maggiore,37000
Lake Maggiore,37000
Lake Maggiore,37000
MARY & ELLEN,54
Salathiel,54
Faithful Mother,40
New Diligence,40
Antelope,29
Antelope,29
