Subject,Object
Carta Geral do Estado de S. Paulo,56.0
Carta Geral do Estado de S. Paulo,108.0
Carta Geral do Estado de S. Paulo,115.5
scenes from the New Testament,56.0
scenes from the Passion of Christ,56.0
Port de Valldemossa,15.0
"sign stone, Felsenburg Bözingen",250.0
scenes from the history of Mary,180.0
scenes from the history of Mary,390.0
"Boulder, Mahlewagwald II",180.0
MV Västan,5.91
Cala Figuera,10.0
Sa Font Figuera,10.0
Triumph TR3,1422.0
Alcanada,20.0
Crucifix no. 434,201.0
Namihaya Bridge,11.0
flying geese,470.0
Carta Geologica do Estado de S. Paulo,56.3
McLaren 650S,1908.0
Appliqué inv. 739,29.0
Swabian Jura,70.0
tree of life,50.0
tree of life,50.0
Karawanks,65.0
Appliqué inv. 734,65.0
Le Roi donne ses ordres pour attaquer en même tems quatre des plus fortes places de la Hollande 1672,91.5
Crucifix with stories of the Passion and Redemption,231.0
Portrait of J.C. Dahl,178.0
A Floresta e a Glória,23.7
Convento da Ajuda,23.7
"Capela Inglesa, Rua dos Barbonos e Arcos",23.7
"Prainha, vista da Saúde",23.7
"Boulder, Chräjeberg, wayside outside of the forest",220.0
"Boulder, Chräjeberg, wayside outside of the forest",220.0
Gamboa e Caju,24.3
Resolution prise de faire la guerre aux Hollandois 1671,91.4
Mesures des Espagnols Rompues par la prise de Gand,91.4
Prise de la Ville et Citadelle de Gand en six jours 1678,91.4
Le Roi prend Mastrich en trente jours 1673,91.4
SS Thomée,4.85
Chevrolet SSR,1996.0
Zeichenstein Balzers,350.0
Mapa de Estradas de Rodagem,97.0
Création,154.0
Inspiration,154.0
male figure,62.0
Benten Bridge,27.0
Aston Martin DB4 GT Zagato,1676.0
Es Torrent d'Es Morts,60.0
Engelbrekt,4.45
"Boulder, Mahlewagwald I",140.0
Aston Martin Vantage,1866.0
Painted Cross,225.0
couple,78.0
Porsche 2020,1940.0
Le Roi Arme sur Terre et sur Mer 1672,90.8
zodiac signs,300.0
Greater Khingan,300.0
The Last Judgment,49.0
untitled,1100.0
untitled,1100.0
untitled,190.0
"Développemens de la décoration intérieure, et des Peintres du plafond de la Galerie de Versailles",96.9
Tesla Model 3,2088.0
Crucifix,73.0
Faste des Puissances voisines de la France,90.0
Le Roi gouverne par lui meme 1661,90.0
"Boulder, Bärletwald",90.0
Suidō Bridge,50.2
Largo do Paço,23.8
Santa Luzia e Praia da Glória,23.8
Cala Dèntol,5.0
Cala Ca's Xirimier,5.0
Manri Bridge,22.15
From Vækerø,392.0
Entrada da barra,23.0
Palácio Imperial,23.0
McLaren 570S,2093.0
Madonna and Child with a Monkey,12.5
"Boulder, Chräjeberg, northern edge of the woods",120.0
"Boulder, Büttenberg, Crossing Bartolomäusweg/ Jungholzweg",120.0
Appliqué inv. 848,160.0
Artega GT,1880.0
Aston Martin V8 Zagato,1880.0
Carta Geral do Estado de São Paulo,74.0
Carta Geral do Estado de São Paulo,116.8
Carta Geral do Estado de São Paulo,116.0
Passage du Rhin en présence des ennemis 1672,91.2
