Subject,Object
2018 Settimana Internazionale di Coppi e Bartali,Lorenzo Rota
2018 Settimana Internazionale di Coppi e Bartali,Lorenzo Rota
2018 Deutschland Tour,Nils Politt
2019 Deutschland Tour,Nils Politt
2018 Deutschland Tour,Nils Politt
2019 Deutschland Tour,Nils Politt
2019 Settimana Internazionale di Coppi e Bartali,Lucas Hamilton
2019 Settimana Internazionale di Coppi e Bartali,Lucas Hamilton
2015 Danmark Rundt,Sebastián Henao
2017 Volta a Portugal,Krists Neilands
2017 Volta a Portugal,Krists Neilands
2017 Volta a Portugal,Krists Neilands
2018 Volta a Portugal,Cristián Rodríguez
2018 Volta a Portugal,Xuban Errazkin
2018 Volta a Portugal,Cristián Rodríguez
2019 Tour of the Basque Country,Maximilian Schachmann
2019 Tour of the Basque Country,Maximilian Schachmann
2016 Volta a Portugal,Galym Akhmetov
2013 Danmark Rundt,Wilco Kelderman
2012 Danmark Rundt,Wilco Kelderman
Volta a Portugal de 2019,Emanuel Duarte
2017 Danmark Rundt,Mads Pedersen
