Subject,Object
Joker,not recommended for minors under 18
Pulp Fiction,not recommended for minors under 18
Another Way,not recommended for minors under 18
Son of Saul,not recommended for minors under 18
American Hustle,Not recommended for minors under 16
Battle of Warsaw 1920,Not recommended for minors under 16
300: Rise of an Empire,Not recommended for minors under 16
Child 44,Not recommended for minors under 16
Blackhat,Not recommended for minors under 16
Schindler's List,Not recommended for minors under 16
The Dark Valley,Not recommended for minors under 16
Mad Max: Fury Road,Not recommended for minors under 16
Saving Mr. Banks,Not recommended for children under 7
Tomorrowland,Not recommended for children under 7
A Wrinkle in Time,Not recommended for children under 7
Tomorrowland,Not recommended for children under 7
Into the Woods,Not recommended for children under 7
A Wrinkle in Time,Not recommended for children under 7
Saving Mr. Banks,Not recommended for children under 7
Tomorrowland,Not recommended for children under 7
Saving Mr. Banks,Not recommended for children under 7
Saving Mr. Banks,Not recommended for children under 7
War Horse,Not recommended for children under 7
Thor,Not recommended for children under 7
Star Trek Beyond,Not recommended for children under 7
Pan,Not recommended for children under 7
Absolutely Anything,Not recommended for children under 7
Sunset,not recommended for children under 12
Gemini Man,not recommended for children under 12
The Shape of Water,not recommended for children under 12
Black Panther,not recommended for children under 12
