Subject,Object
Qui-Gon Jinn,Jedi
Qui-Gon Jinn,Jedi
Our Lady of Holy Cross College,Association of Catholic Colleges and Universities
Purdue University,Purdue University system
Queen Mary University of London,Alan Turing Institute
University of Birmingham,Universitas 21
Morehouse College,Atlanta University Center
University of New Hampshire,Association of Public and Land-grant Universities
University of British Columbia,Association of Public and Land-grant Universities
Valencia College,Florida College System
Sojourner–Douglass College,Antioch University
TU Dresden,German Universities Excellence Initiative
University of Tübingen,German Universities Excellence Initiative
TU Dresden,German Universities Excellence Initiative
Clearwater Christian College,National Christian College Athletic Association
Dickinson College,Oberlin Group
Dickinson College,Oberlin Group
Baruch College,City University of New York
City College of New York,City University of New York
Baruch College,City University of New York
City College of New York,City University of New York
Baruch College,City University of New York
McGill University,Morrin College
Toccoa Falls College,Christian and Missionary Alliance
Mercy College,National Association of Independent Colleges and Universities
