Subject,Object
"Kilgarren castle, Cardiganshire",William Havell
The Emperor's New Groove,Roger Allers
The Emperor's New Groove,Roger Allers
The vale of Llangollen,William Harvey
"Pylle Priory, Pembrokeshire",J. Kennell
The Menai Bridge,Thomas Bailey
Peter Pan,J. M. Barrie
Peter Pan,J. M. Barrie
Beauty and the Beast,Jeanne-Marie Leprince de Beaumont
Beauty and the Beast,Jeanne-Marie Leprince de Beaumont
Isle of Anglesea near the Paris mine,William Alfred Delamotte
Cardiganshire: near Aberystwith,William Alfred Delamotte
The Hunchback of Notre Dame,Victor Hugo
"S.W. view Milford town, Pembrokeshire",F. L. Camacho
View near the Usk at Crickhowell,Mrs Williams
Crickhowel Castle,Mrs Williams
Treasure Planet,Robert Louis Stevenson
Gateway Of Carnarvon Castle,J. Chapman
