Subject,Object
New York State Senate,New York
1990 Bristol City Council election,Bristol
1988 Bristol City Council election,Bristol
1987 Bristol City Council election,Bristol
1986 Bristol City Council election,Bristol
Southampton City Council,City of Southampton
legislative body of Carlow County Council,County Carlow
Municipal elections 2017 in Teuva in Finland,Teuva
Humberside County Council,Humberside
Kermeter,North Rhine-Westphalia
Himmelsberg,Hesse
Rettbergsaue bei Wiesbaden,Hesse
Trabalho por uma Paulista Sustentável,Paulista
Goods and Services Tax,India
"Union Territory Goods and Services Tax Act, 2017",India
"Integrated Goods and Services Tax Act, 2017",India
"Central Goods and Services Tax Act, 2017",India
Legislative Assembly of Paraná,Paraná
Municipal elections 2017 in Säkylä in Finland,Säkylä
Arkansas Senate,Arkansas
legislative body of Galway County Council,County Galway
Comarcal Council of Priorat,Priorat
União e Igualdade,Caxias
legislative body of Limerick City and County Council,County Limerick
legislative body of Limerick City and County Council,Limerick
Ministry of Science and Education,Croatia
Merionethshire County Council,Merionethshire
Stoke-on-Trent City Council,City of Stoke-on-Trent
Pra Avançar e Melhorar I,Várzea Grande
Department of Education and Skills,Ireland
Municipal elections 2017 in Taivalkoski in Finland,Taivalkoski
Utah State Senate,Utah
2014 Indian general election in Kerala,Kerala
West Glamorgan County Council,West Glamorgan
Constitutional Court,Austria
Constitutional Court of Ukraine,Ukraine
Constitutional Court of Ukraine,Ukraine
legislative body of Kilkenny County Council,County Kilkenny
Lages Levada a Sério,Lages
Department of Education,Northern Ireland
legislative body of Clare County Council,County Clare
Montgomery County Council,Montgomery County
2014 Indian general election in Maharashtra,Maharashtra
Texas Senate,Texas
Alabama Senate,Alabama
Municipal elections 2017 in Sastamala in Finland,Sastamala
Arizona Senate,Arizona
Legislative Assembly of Pernambuco,Pernambuco
Renascer de Rio Das Ostras,Rio das Ostras
Maine Senate,Maine
California Department of Corrections and Rehabilitation,California
California State Senate,California
Kansas Senate,Kansas
legislative body of Sligo County Council,County Sligo
Gwent County Council,Gwent
Greifswalder Oie,Mecklenburg-Vorpommern
Mid Glamorgan County Council,Mid Glamorgan
"Minister for Manufacturing, Innovation and Trade",South Australia
Minister for the River Murray,South Australia
Minister for Communities and Social Inclusion,South Australia
Minister for Youth,South Australia
Minister of Social Welfare,South Australia
Minister for Road Safety,South Australia
Minister for Emergency Services,South Australia
Minister for Police,South Australia
Minister for Disabilities,South Australia
legislative body of Roscommon County Council,County Roscommon
Municipal elections 2017 in Tampere in Finland,Tampere
Legislative Assembly of Maranhão,Maranhão
Ministry of Education and Science,Lithuania
Legislative Assembly of Rio Grande do Sul,Rio Grande do Sul
legislative body of Cork County Council,County Cork
Department for Education and Skills,Wales
Comarcal Council of Baix Camp,Baix Camp
"Ministry of Education, Culture and Sport",Spain
Constitutional Court of Spain,Spain
Comarcal Council of Baix Penedès,Baix Penedès
Legislative Assembly of Roraima,Roraima
"Ministry of Education, Youth and Science of Bulgaria",Bulgaria
Municipal elections 2017 in Tervo in Finland,Tervo
legislative body of Kildare County Council,County Kildare
Legislative Assembly of Amapá,Amapá
Ministry of Education and Research of Norway,Norway
"Ministry of Education, Science and Culture",Iceland
Legislative Assembly of Espírito Santo,Espírito Santo
Bristol City Council,City of Bristol
legislative body of Wicklow County Council,County Wicklow
2014 Indian general election in Himachal Pradesh,Himachal Pradesh
Legislative Assembly of Santa Catarina,Santa Catarina
Legislative Assembly of Mato Grosso do Sul,Mato Grosso do Sul
Municipal elections 2017 in Sysmä in Finland,Sysmä
legislative body of Donegal County Council,County Donegal
South Dakota Senate,South Dakota
Florida Department of Corrections,Florida
Legislative Chamber of Federal District,Federal District
New Jersey Senate,New Jersey
Connecticut Department of Correction,Connecticut
Vermont Senate,Vermont
Municipal elections 2017 in Taivassalo in Finland,Taivassalo
2014 Indian general election in Gujarat,Gujarat
Milton Keynes Council,Milton Keynes
Municipal elections 2017 in Vaala in Finland,Vaala
Municipal elections 2017 in Tohmajärvi in Finland,Tohmajärvi
Georgia State Senate,Georgia
Legislative Assembly of Sergipe,Sergipe
York City Council,City of York
União Trabalhista por Passo Fundo,Passo Fundo
2014 Indian general election in Tripura,Tripura
Legislative Assembly of Minas Gerais,Minas Gerais
