Subject,Object
The Drew Las Vegas,Carlos Zapata
Lakajgården,Johan Conrad Ernst
Kauffman Stadium,Kivett and Myers
Gerickesteg,Bruno Möhring
Nationwide Arena,360 Architecture
Vlissingen railway station,Sybold van Ravesteyn
Maria chapel,Gène Eggen
Quartiere Lagosta,Giulio Ulisse Arata
Docklands Stadium,Populous
Docklands Stadium,Populous
Taipei Arena,Populous
Parc des Princes,Roger Taillibert
Häradskär lighthouse,Gustaf von Heidenstam
Svenska Högarna lighthouse,Gustaf von Heidenstam
Sandhammaren lighthouse,Gustaf von Heidenstam
Pater Noster lighthouse,Gustaf von Heidenstam
Häradskär lighthouse,Gustaf von Heidenstam
Svenska Högarna lighthouse,Gustaf von Heidenstam
Sandhammaren lighthouse,Gustaf von Heidenstam
Bellagio Hotel & Casino,Jon Jerde
Stadttheater Augsburg,Hermann Helmer
Eindhoven Central railway station,Karel Hendrik van Brederode
Middelburg railway station,Karel Hendrik van Brederode
Harlingen railway station,Karel Hendrik van Brederode
Willow Tearooms,Charles Rennie Mackintosh
Robert F. Kennedy Memorial Stadium,George Dahl
Union Depot,Spier & Rohns
Westminster Scholars War Memorial,George Gilbert Scott
Saint Isaac's Cathedral,Auguste de Montferrand
Berchtesgaden Chancellery Branch office,Alois Degano
Berchtesgaden Chancellery Branch office,Alois Degano
RingCentral Coliseum,Skidmore Owings Merrill
Schwabach station,Gottfried von Neureuther
Ulanendenkmal,Emil Fahrenkamp
Aldford Iron Bridge,Thomas Telford
Quartiere Ettore Ponti,Franco Albini
Beyazıt Tower,Balyan family
Faurot Field,Jamieson and Spearl
California Memorial Stadium,John Galen Howard
Gaylord Family Oklahoma Memorial Stadium,Layton & Forsyth
Lichfield War Memorial,Charles Bateman
Dordrecht railway station,Nicolaas Kamperdijk
Wembley Stadium,John William Simpson
Wembley Stadium,John William Simpson
Parkstadt Bogenhausen,Franz Ruf
Civil Service Rifles War Memorial,Edwin Lutyens
Royal Naval Division Memorial,Edwin Lutyens
British Thomson-Houston Company War Memorial,Edwin Lutyens
Queen's Own Royal West Kent Regiment Cenotaph,Edwin Lutyens
Rheinstadion,Hans Freese
Donald W. Reynolds Razorback Stadium,Heery International
Mountaineer Field at Milan Puskar Stadium,Heery International
Glasgow Cenotaph,John James Burnet
Örskär lighthouse,Carl Hårleman
Uspenski Cathedral,Aleksey Gornostayev
Kapelludden lighthouse,Albert Theodor Gellerstedt
Białostocki Teatr Lalek,Eugeniusz Wierzbicki
Old Town Bridge Tower,Peter Parler
VTB Arena,Erick van Egeraat
Hubert H. Humphrey Metrodome,Leo A Daly
Smithfield Street Bridge,Gustav Lindenthal
Amsterdam Centraal,Pierre Cuypers
Tiger Stadium,Osborn Engineering
Metropolitan Stadium,Osborn Engineering
Resorts World Las Vegas,Paul Steelman
JW Marriott Las Vegas,Paul Steelman
Hohenzollern Bridge,Franz Schwechten
Cathedral of the Archangel,Aloisio the New
Cathedral of the Archangel,Aloisio the New
InterContinental Amstel Amsterdam,Cornelis Outshoorn
Accrington War Memorial,Charles Herbert Reilly
Secondo quartiere popolare della Società Umanitaria,Giovanni Broglio
Quartiere IACP Lorenteggio,Giovanni Broglio
Darrell K Royal–Texas Memorial Stadium,Herbert M. Greene
Budapest Bábszínház,Adolf Láng
Einstein Tower,Erich Mendelsohn
Einstein Tower,Erich Mendelsohn
