Subject,Object
rubidium-103,37
rubidium-102,37
rubidium-101,37
rubidium-100,37
rubidium-99,37
rubidium-98,37
rubidium-97,37
rubidium-96,37
rubidium-95,37
rubidium-94,37
xenon-127,54
xenon-112,54
xenon-116,54
xenon-113,54
rhodium,45
tin,50
zirconium,40
lead-183,82
lead-182,82
lead-181,82
lead-180,82
lead-201,82
lead-200,82
lead-199,82
lead-198,82
lead-197,82
lead-196,82
ruthenium-110,44
ruthenium-97,44
ruthenium-108,44
ruthenium-105,44
tantalum,73
osmium-185,76
osmium-184,76
osmium-183,76
osmium-182,76
osmium-181,76
osmium-180,76
osmium-179,76
osmium-178,76
osmium-177,76
molybdenum,42
selenium,34
caesium-151,55
caesium-150,55
caesium-149,55
caesium-148,55
caesium-147,55
caesium-146,55
germanium-71,32
germanium-77,32
germanium-67,32
germanium-78,32
bismuth-203,83
bismuth-202,83
bismuth-201,83
bismuth-197,83
bismuth-196,83
bismuth-195,83
nickel,28
iron-67,26
iron-66,26
iron-65,26
iron-64,26
iron-63,26
iron-62,26
iron-61,26
iron-59,26
iron-51,26
iron-50,26
cobalt,27
cerium-132,58
cerium-131,58
cerium-130,58
cerium-129,58
cerium-128,58
cerium-127,58
cerium-126,58
cerium-125,58
cerium-124,58
cerium-122,58
gold-205,79
gold-204,79
gold-203,79
gold-202,79
gold-201,79
gold-200m,79
gold-200,79
tellurium,52
silver,47
yttrium,39
manganese,25
hafnium,72
