Subject,Object
caesium-147,1195374.6
osmium-177,1411121.172
lanthanum-140,1169706.58
silicon-22,133276.0
astatine-221,1700478.975
yttrium-107,875474.0
francium-214,1660156.36
francium-206,1595869.64
cerium-128,1063286.4
osmium-181,1445000.106
gadolinium-157,1287950.128
gadolinium-164,1333320.0
yttrium-88,764063.432
ruthenium-110,933494.21
ruthenium-105,898999.5
yttrium-87,754711.428
ruthenium-108,920940.3
cerium-125,1030250.0
gadolinium-135,1083915.0
gadolinium-169,1358084.0
francium-215,1666950.9
antimony-107,894384.538
xenon-116,967072.744
astatine-222,1704379.914
osmium-184,1469916.568
dysprosium-144,1167204.816
francium-207,1605542.922
iron-67,566047.423
gadolinium-158,1295887.402
gadolinium-155,1273053.905
lanthanum-141,1176393.597
lead-180,1390626.0
gadolinium-168,1354248.0
cerium-127,1051660.457
silver-116,982045.212
lanthanum-127,1058359.58
osmium-178,1420780.336
gadolinium-134,1072804.0
ruthenium-97,834615.063
yttrium-97,828527.634
caesium-150,1205850.0
cerium-122,997228.0
osmium-183,1461256.83
gadolinium-152,1251476.952
osmium-180,1437736.5
francium-212,1646571.14
iron-50,417701.3
silver-111,947361.357
dysprosium-146,1189332.352
yttrium-103,859291.714
xenon-112,921767.168
cerium-130,1083318.08
silver-115,976413.825
germanium-77,667669.156
caesium-148,1198436.808
caesium-149,1202877.0
silver-113,962315.345
yttrium-100,843947.6
lanthanum-132,1104543.792
lead-201,1583453.277
gadolinium-166,1344268.0
astatine-216,1674648.432
cerium-132,1102508.616
yttrium-99,839198.745
yttrium-84,721373.52
silver-114,968290.692
antimony-122,1033136.382
gadolinium-154,1266618.584
lanthanum-142,1181557.576
lead-199,1567271.464
francium-213,1654679.211
yttrium-101,849752.491
silver-123,1025549.769
francium-208,1613435.824
astatine-217,1680581.672
dysprosium-145,1176948.76
germanium-67,578401.419
silicon-42,311556.0
lanthanum-128,1067160.32
silver-117,989755.884
iron-62,538958.684
silicon-30,255619.62
gadolinium-156,1281590.232
astatine-218,1684949.468
silver-121,1014261.93
lanthanum-134,1122181.392
iron-65,555512.49
silver-122,1019036.476
germanium-71,617934.939
silver-125,1036664.25
francium-209,1622610.792
iron-66,562433.784
lead-196,1543174.052
caesium-151,1209963.0
cerium-124,1020396.0
iron-64,551192.832
iron-59,516531.489
francium-211,1639123.96
caesium-146,1190693.656
osmium-179,1428326.92
astatine-219,1690722.924
cerium-131,1091674.876
antimony-118,1000511.97
dysprosium-147,1199044.749
lead-181,1399873.367
antimony-110,925394.91
osmium-185,1476541.24
astatine-223,1709976.265
xenon-127,1071132.097
francium-210,1630245.75
silver-129,1056381.0
cerium-129,1072111.26
lead-197,1550642.554
gadolinium-165,1338150.0
gadolinium-159,1301830.626
francium-205,1587865.63
silicon-29,245010.415
lead-182,1411652.424
lead-200,1576362.0
astatine-220,1694814.66
yttrium-83,711613.448
silver-119,1002362.228
xenon-113,932015.751
