Subject,Object
urease accessory protein UreF    Rv1851,nitrogen compound metabolic process
urease accessory protein UreF    Rv1851,nitrogen compound metabolic process
UDP-N-acetylglucosamine--N-acetylmuramyl-,cell division
UDP-N-acetylglucosamine--N-acetylmuramyl-,lipid glycosylation
potassium-transporting ATPase subunit B    Rv1030,potassium ion transport
30S ribosomal protein S7    Rv0683,protein biosynthesis
30S ribosomal protein S7    Rv0683,protein biosynthesis
50S ribosomal protein L1    Rv0641,protein biosynthesis
thioredoxin reductase    Rv3913,oxidation-reduction process
thioredoxin reductase    Rv3913,oxidation-reduction process
phosphoglycerate kinase    Rv1437,glycolytic process
phosphoglycerate kinase    Rv1437,glycolytic process
cation transporter ATPase J    Rv3743c,cation transport
