Subject,Object
Craftsman 172-171840,Craftsman
McLaren 570S,McLaren Automotive
McLaren 650S,McLaren Automotive
Milwaukee 6509-22,Milwaukee Electric Tool Corporation
Milwaukee 6520-21,Milwaukee Electric Tool Corporation
Milwaukee 6537-22,Milwaukee Electric Tool Corporation
Milwaukee 6521-21,Milwaukee Electric Tool Corporation
Chevrolet SSR,Chevrolet
Triumph TR3,Triumph
Tesla Model 3,Tesla
Makita JR3030T,Makita
Porsche 2020,Porsche
Aston Martin V8 Zagato,Aston Martin Lagonda
Aston Martin Vantage,Aston Martin Lagonda
Aston Martin DB4 GT Zagato,Aston Martin Lagonda
Ryobi RJ161V,Ryobi
Artega GT,Artega Automobile
Ferrari GTC4Lusso,Ferrari
