Subject,Object
2019 North Macedonian presidential election,Stevo Pendarovski
1983 United Kingdom general election,Margaret Thatcher
1796 United States presidential election,John Adams
2018 Georgian presidential election,Salome Zurabishvili
2014 Indian general election in Ghosi Lok Sabha constituency,Dara Singh Chauhan
February 1974 United Kingdom general election,Edward Heath
2016 United States presidential election in Pennsylvania,Donald Trump
2014 Indian general election in Mandya Lok Sabha constituency,Ramya
2019 Indonesian presidential election,Joko Widodo
2014 Indian general election in Basti Lok Sabha constituency,Harish Dwivedi
2018 Montenegrin presidential election,Milo Đukanović
2018 Salford City Council election in Claremont,Neil Reynolds
2014 Indian general election in Mandla Lok Sabha constituency,Faggan Singh Kulaste
1994 Texas gubernatorial election,Ann Richards
2014 Indian general election in Gorakhpur Lok Sabha constituency,Yogi Adityanath
1812 United States presidential election,James Madison
1808 United States presidential election,James Madison
October 1974 United Kingdom general election,Harold Wilson
1951 United Kingdom general election,Clement Attlee
1997 United Kingdom general election,Tony Blair
2014 Indian general election in Karnal Lok Sabha constituency,Arvind Tiwari
2018 Salford City Council election in Eccles,Michael Wheeler
2014 Indian general election in Chikkballapur Lok Sabha constituency,Veerappa Moily
1979 United Kingdom general election,James Callaghan
2016 Estonian presidential election,Urmas Paet
2016 Estonian presidential election,Kersti Kaljulaid
1998 Illinois gubernatorial election,Glenn Poshard
2014 Indian general election in Dakshina Kannada Lok Sabha constituency,Janardhana Poojary
2014 Indian general election in Varanasi Lok Sabha constituency,Narendra Modi
2011 Hokkaido gubernatorial election,Harumi Takahashi
2014 Indian general election in Gurgaon Lok Sabha constituency,Rao Inderjit Singh
Wisconsin gubernatorial recall election,Tom Barrett
2016 Gambian presidential election,Yahya Jammeh
2016 Gambian presidential election,Adama Barrow
2016 Gambian presidential election,Adama Barrow
2014 Indian general election in Kottayam Lok Sabha constituency,Mathew T. Thomas
2016 Kiribati presidential election,Rimeta Beniamina
2016 Kiribati presidential election,Taneti Maamau
1959 Hokkaido gubernatorial election,Kingo Machimura
1959 Hokkaido gubernatorial election,Setsuo Yokomichi
2006 Okinawa gubernatorial election,Yara Chōsuke
2018 Salford City Council election in Irlam,Roger Jones
2014 Indian general election in Chalakudy Lok Sabha constituency,Edappally Basheer
2012 Tokyo gubernatorial election,Kenji Utsunomiya
2012 Tokyo gubernatorial election,Naoki Inose
2015 United Kingdom general election,Liberal Democrats
2010 United Kingdom general election,Liberal Democrats
2014 Indian general election in Mavelikkara Lok Sabha constituency,P.Sudheer
2014 Indian general election in Mahasamund Lok Sabha constituency,Ajit Jogi
1940 United States presidential election,Franklin Delano Roosevelt
2014 Indian general election in Chennai South Lok Sabha constituency,Kanthavel D
2017 Slovenian presidential election,Borut Pahor
2017 Slovenian presidential election,Borut Pahor
2011 Osaka gubernatorial election,Ichirō Matsui
2011 Osaka gubernatorial election,Kaoru Kurata
1906 United Kingdom general election,Henry Campbell-Bannerman
2014 Indian general election in Jammu Lok Sabha constituency,Madan Lal Sharma
1804 United States presidential election,Thomas Jefferson
1800 United States presidential election,Thomas Jefferson
2018 Salford City Council election in Barton,David Jolley
