Subject,Object
Heroes,Sendhil Ramamurthy
The Original Latin Kings of Comedy,Alex Reymundo
Cape Nostalgia,Hiroshi Abe
Black Widow,Olivier Richters
Leave It to Beaver,Barbara Billingsley
The Ravine of Goodbye,Yōko Maki
The Larry Sanders Show,Janeane Garofalo
Day 8: 3:00 pm - 4:00 pm,Nazneen Contractor
Day 8: 3:00 pm - 4:00 pm,Nick Jameson
Day 8: 3:00 pm - 4:00 pm,Frank John Hughes
A Dangerous Adventure,Derelys Perdue
Star Wars: Episode I – The Phantom Menace,Rick McCallum
Saving Mr. Banks,Tom Hanks
Wonder Woman 1984,Chris Pine
Kevin Hart: Laugh at My Pain,Isaac C. Singleton Jr.
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Joel Johnstone
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Marc Abbink
Malcolm in the Middle,Bryan Cranston
The BFG,Bill Hader
The BFG,Rafe Spall
The BFG,Kyle Maloney
The Santa Fe Trail,Neva Gerber
Columbo Likes the Nightlife,Douglas Roberts
WrestleMania 2,George Wells
WrestleMania 2,Jim Covert
WrestleMania 2,Russ Francis
WrestleMania 2,Dan Spivey
Finale: Part Two!!,Georgina Haig
Finale: Part Two!!,Jacob Pitts
Paul Mooney: Analyzing White America,Paul Mooney
Kuchibiru ni uta o,Yui Aragaki
Godzilla vs. Kong,Rebecca Hall
Les Vampires,Jacques Feyder
WrestleMania III,Brian Blair
WrestleMania III,Slick
WrestleMania III,Mary Hart
WrestleMania III,Dynamite Kid
WrestleMania IV,Tito Santana
WrestleMania III,Gene Okerlund
WrestleMania IV,The Honky Tonk Man
WrestleMania III,The Honky Tonk Man
WrestleMania IV,Jake Roberts
WrestleMania III,Jake Roberts
Sarah Silverman: Jesus Is Magic,Laura Silverman
Tristan i Izolda,Zoran Radmilović
Wood Job!,Masami Nagasawa
In the Days of Daniel Boone,Eileen Sedgwick
Stalin,Tadeusz Łomnicki
Pretty Little Liars,Claire Holt
Morbius,Michael Keaton
Prva srpska železnica,Marko Nikolić
Cinderella,Ben Chaplin
The Original Kings of Comedy,Steve Harvey
A Study in Pink,Martin Freeman
A Scandal in Belgravia,Benedict Cumberbatch
A Study in Pink,Benedict Cumberbatch
A Scandal in Belgravia,Danny Webb
Night Court,Ellen Foley
Alice Through the Looking Glass,Geraldine James
Alice Through the Looking Glass,Matt Wilman
Alice Through the Looking Glass,Oliver Hawkes
What You Leave Behind,Hans Beimler
What You Leave Behind,Barry Jenner
Eddie Murphy Raw,Leonard Jackson
Eddie Murphy Raw,Davenia McFadden
Eddie Murphy Raw,Ellis E. Williams
Eddie Murphy Raw,Deon Richmond
