Subject,Object
4th term of the Senate of the Republic of Poland,Alicja Grześkowiak
Archaeological Institute of America,Jodi Magness
Archaeological Institute of America,Charles Eliot Norton
Ministry of Health and Medical Education,Hassan Hashemi
Roman Catholic Diocese of Santiago de María,William Ernesto Iraheta Rivera
Ministry of Health of Germany,Jens Spahn
3rd term of the Senate of the Republic of Poland,Adam Struzik
American Society for Microbiology,Rebecca Lancefield
Roman Catholic Diocese of Savona-Noli,Calogero Marino
8th term of the Sejm of the Republic of Poland,Marek Kuchciński
United States Department of Health and Human Services,Sylvia Burwell
Chaldean Catholic Archeparchy of Mosul,Michaeel Najeeb
5th term of the Senate of the Republic of Poland,Longin Pastusiak
Roman Catholic Diocese of Shendam,Philip Davou Dung
American Association of Physical Anthropologists,Leslie C. Aiello
Chaldean Catholic Archeparchy of Bagdad,Louis Raphaël I Sako
Association of Black Anthropologists,Vera Green
Society of Marxist Historians,Mikhail Pokrovsky
Société française d'archéologie,Jacqueline Sanson
American Philosophical Association,Penelope Maddy
Roman Catholic Diocese of San Juan Bautista de las Misiones,Pedro Collar Noguera
Ministry of Health,Adam Vojtěch
Ministry of Health,Aurelijus Veryga
Ministry of Health,Giulia Grillo
Armenian Catholic Archeparchy of Aleppo,Boutros Marayati
Association for Symbolic Logic,Julia F. Knight
Roman Catholic Diocese of San José del Guaviare,Nelson Jair Cardona Ramírez
