Subject,Object
Batman,Robin
Turn: Washington's Spies,George Washington
Dragonlance,Tanis Half-Elven
Ich heirate eine Familie,Angelika Schumann
Don Giovanni,Leporello
Chuck,Michael Tucker
The West Wing,Mitch Bryce
The West Wing,Matt Santos
House of Cards,Frank Underwood
Mario franchise,Bowser Jr.
Mario franchise,Princess Daisy
An Unearthly Child,Barbara Wright
The Edge of Destruction,Susan Foreman
An Unearthly Child,Susan Foreman
Marco Polo,Susan Foreman
An Unearthly Child,Susan Foreman
Die Entführung aus dem Serail,Osmin
Mega Man,Zero
Mega Man,Dr. Wily
The 100,Lexa
Castle,Richard Castle
Nabucco,Nabucco
Pippi Longstocking,Pippi Longstocking
Breaking Bad,Tuco Salamanca
Breaking Bad,Marie Schrader
Childe Cycle,Donal Graeme
Childe Cycle,Donal Graeme
Tosca,Floria Tosca
Bolek and Lolek,Bolek and Lolek
