Subject,Object
Portinari Altarpiece,Tommaso Portinari
RB 7,Nordhessischer Verkehrsverbund
RB 6,Nordhessischer Verkehrsverbund
The Daughters of Catulle Mendès,Catulle Mendès
The Angelus,Thomas Gold Appleton
RB 26,Verkehrsverbund Berlin-Brandenburg
RB 25,Verkehrsverbund Berlin-Brandenburg
RB 63,Verkehrsverbund Berlin-Brandenburg
RB 12,Verkehrsverbund Berlin-Brandenburg
RB 13,Verkehrsverbund Berlin-Brandenburg
RB 11,Verkehrsverbund Berlin-Brandenburg
RB 52,Verkehrsverbund Berlin-Brandenburg
RB 51,Verkehrsverbund Berlin-Brandenburg
RB 55,Verkehrsverbund Berlin-Brandenburg
RB 31,Verkehrsverbund Oberelbe
Mona Lisa,Francesco del Giocondo
RB 113,Zweckverband für den Nahverkehrsraum Leipzig
St. Francis in the Desert,Giovanni Michiel
RB 56,Landesnahverkehrsgesellschaft Niedersachsen
The Milkmaid,Pieter van Ruijven
