Subject,Object
1976 Danish Badminton Championships,national championship
1974 Danish Badminton Championships,national championship
1969 Danish Badminton Championships,national championship
1968 Danish Badminton Championships,national championship
1966 Danish Badminton Championships,national championship
1965 Danish Badminton Championships,national championship
1963 Danish Badminton Championships,national championship
2016 Irish Badminton Championships,national championship
2014 Irish Badminton Championships,national championship
2012 Irish Badminton Championships,national championship
2009 Irish Badminton Championships,national championship
2006 Israeli Badminton Championships,national championship
2005 Israeli Badminton Championships,national championship
2004 Israeli Badminton Championships,national championship
2003 Israeli Badminton Championships,national championship
2002 Israeli Badminton Championships,national championship
2001 Israeli Badminton Championships,national championship
1968 Belgian Badminton Championships,national championship
1967 Belgian Badminton Championships,national championship
1966 Belgian Badminton Championships,national championship
1965 Belgian Badminton Championships,national championship
1964 Belgian Badminton Championships,national championship
1963 Belgian Badminton Championships,national championship
1962 Belgian Badminton Championships,national championship
1961 Belgian Badminton Championships,national championship
1960 Belgian Badminton Championships,national championship
1959 Belgian Badminton Championships,national championship
1958 Belgian Badminton Championships,national championship
2025 Australian Badminton Championships,national championship
2024 Australian Badminton Championships,national championship
2023 Australian Badminton Championships,national championship
2022 Australian Badminton Championships,national championship
2021 Australian Badminton Championships,national championship
2020 Australian Badminton Championships,national championship
2018 Australian Badminton Championships,national championship
2019 Australian Badminton Championships,national championship
2015 Australian Badminton Championships,national championship
2014 Australian Badminton Championships,national championship
2013 Australian Badminton Championships,national championship
1967 Australian Badminton Championships,national championship
1963 Australian Badminton Championships,national championship
1984 Welsh Badminton Championships,national championship
1985 Welsh Badminton Championships,national championship
1986 Welsh Badminton Championships,national championship
1987 Welsh Badminton Championships,national championship
1988 Welsh Badminton Championships,national championship
1989 Welsh Badminton Championships,national championship
1990 Welsh Badminton Championships,national championship
1991 Welsh Badminton Championships,national championship
1992 Welsh Badminton Championships,national championship
1993 Welsh Badminton Championships,national championship
2003 Welsh International Badminton Championships,open championship
1996 Welsh International Badminton Championships,open championship
1995 Welsh International Badminton Championships,open championship
1992 Welsh International Badminton Championships,open championship
1969 Welsh International Badminton Championships,open championship
1968 Welsh International Badminton Championships,open championship
1998 Irish Open Badminton Championships,open championship
1997 Irish Open Badminton Championships,open championship
1996 Irish Open Badminton Championships,open championship
1995 Irish Open Badminton Championships,open championship
1994 Irish Open Badminton Championships,open championship
1993 Irish Open Badminton Championships,open championship
1992 Irish Open Badminton Championships,open championship
1990 Irish Open Badminton Championships,open championship
1968 Irish Open Badminton Championships,open championship
1927 Irish Open Badminton Championships,open championship
2005 Bitburger Open Badminton Championships,open championship
2004 Bitburger Open Badminton Championships,open championship
2003 Bitburger Open Badminton Championships,open championship
2002 BMW Open Badminton Championships,open championship
2019 Indonesia Open Badminton Championships,open championship
2018 Indonesia Open Badminton Championships,open championship
2017 Indonesia Super Series,open championship
2016 Indonesia Open Superseries Premier,open championship
2015 Indonesia Super Series Premier,open championship
2014 Indonesia Super Series Premier,open championship
1987 German Open Badminton Championships,open championship
1985 German Open Badminton Championships,open championship
1984 German Open Badminton Championships,open championship
1983 German Open Badminton Championships,open championship
1976 German Open Badminton Championships,open championship
1974 German Open Badminton Championships,open championship
1973 German Open Badminton Championships,open championship
1969 German Open Badminton Championships,open championship
2028 Dutch International Badminton Championships,open championship
2027 Dutch International Badminton Championships,open championship
2026 Dutch International Badminton Championships,open championship
2025 Dutch International Badminton Championships,open championship
1995 Canadian Open Badminton Championships,open championship
1992 Canadian Open Badminton Championships,open championship
1990 Canadian Open Badminton Championships,open championship
1989 Canadian Open Badminton Championships,open championship
1988 Canadian Open Badminton Championships,open championship
1987 Canadian Open Badminton Championships,open championship
1984 Canadian Open Badminton Championships,open championship
2014 German International Junior Badminton Championships,open championship
2013 German International Junior Badminton Championships,open championship
2012 German International Junior Badminton Championships,open championship
2011 German International Junior Badminton Championships,open championship
2010 German International Junior Badminton Championships,open championship
2009 German International Junior Badminton Championships,open championship
2008 German International Junior Badminton Championships,open championship
2021 German Junior International Badminton Championships,open championship
2020 German Junior International Badminton Championships,open championship
2019 German International Junior Badminton Championships,open championship
2006 Czech International Badminton Championships,open championship
2004 Czech International Badminton Championships,open championship
2005 Czech International Badminton Championships,open championship
2003 Czech International Badminton Championships,open championship
2002 Czech International Badminton Championships,open championship
2001 Czech International Badminton Championships,open championship
2000 Czech International Badminton Championships,open championship
1965 US Open Badminton Championships,open championship
1964 US Open Badminton Championships,open championship
1963 US Open Badminton Championships,open championship
1960 US Open Badminton Championships,open championship
1959 US Open Badminton Championships,open championship
1958 US Open Badminton Championships,open championship
