Subject,Object
Der Sommer der Gaukler,Gerd Baumann
Grave Decisions,Gerd Baumann
Der Sommer der Gaukler,Gerd Baumann
Grave Decisions,Gerd Baumann
Carmen Fantasy,Pablo de Sarasate
Missa in honorem Sanctissimae Trinitatis,Wolfgang Amadeus Mozart
Violin Concerto No. 4,Wolfgang Amadeus Mozart
Rondo in C for Violin and Orchestra,Wolfgang Amadeus Mozart
Violin Concerto No. 5,Wolfgang Amadeus Mozart
Violin Concerto No. 4,Wolfgang Amadeus Mozart
Rondo in C for Violin and Orchestra,Wolfgang Amadeus Mozart
Adagio in E for Violin and Orchestra,Wolfgang Amadeus Mozart
Violin Concerto No. 3,Wolfgang Amadeus Mozart
Violin Concerto No. 1,Dmitri Shostakovich
The Larry Sanders Show,Frank Fitzpatrick
The Neon Demon,Cliff Martinez
The West Wing,W. G. Snuffy Walden
The West Wing,W. G. Snuffy Walden
Tristan i Izolda,Enriko Josif
Prva srpska železnica,Arsen Dedić
Batman,Neal Hefti
popular trilogy,Giuseppe Verdi
Bolek and Lolek,Tadeusz Kocyba
House of Cards,Jeff Beal
Tatort: Gestern war kein Tag,Stephan Massimo
Yummy,Justin Bieber
Yummy,Justin Bieber
"Suddenly, Last Summer",Buxton Orr
"Suddenly, Last Summer",Malcolm Arnold
"Concerto No. 4 in F minor, Op. 8, RV 297",Antonio Vivaldi
"Concerto No. 3 in F major, Op. 8, RV 293",Antonio Vivaldi
Civil Courage,Günther Illi
Malcolm in the Middle,John Flansburgh
Castle,Robert Duncan
Chamber Music by Chopin,Frédéric Chopin
Works for Piano and Orchestra,Frédéric Chopin
Piano Sonatas,Frédéric Chopin
Preludes,Frédéric Chopin
Ballades,Frédéric Chopin
Harmoniemesse,Joseph Haydn
Missa brevis Sancti Joannis de Deo,Joseph Haydn
Dichterliebe,Robert Schumann
Symphony in G minor,Robert Schumann
Symphony No. 1,Leevi Madetoja
A Cambridge Mass,Ralph Vaughan Williams
Mass in G minor,Ralph Vaughan Williams
On Wenlock Edge,Ralph Vaughan Williams
On Wenlock Edge,Ralph Vaughan Williams
Chuck,Tim Jones
The Expanse,Clinton Shorter
Kim Novak Never Swam in Genesaret's Lake,Stefan Nilsson
Selekcja II. Skorpion,Andrzej Korzyński
Ariettes oubliées,Claude Debussy
Violin Concerto No. 2,Henryk Wieniawski
Turn: Washington's Spies,Marco Beltrami
Song of the South,Daniele Amfitheatrof
The 100,Liz Phair
Ocean's Twelve,David Holmes
Violin concerto No. 4,Aarre Merikanto
Stalin,Jan Zawierski
Requiem in C minor,Luigi Cherubini
Concerto for Violin and Strings,Felix Mendelssohn
Breaking Bad,David Porter
Breaking Bad,David Porter
Who Framed Roger Rabbit,Alan Silvestri
The Second Booke of Songes or Ayres,John Dowland
Reprise,Knut Schreiner
Mary Poppins,Irwin Kostal
Pippi Longstocking,Georg Riedel
Violin Concerto,György Ligeti
Leave It to Beaver,Pete Rugolo
It Might Be Time,Kevin Parker
It Might Be Time,Kevin Parker
Alien Autopsy,Murray Gold
"Symphonies, no. 2, op. 11, D major",Hugo Alfvén
"Symphonies, no. 1, op. 7, F minor",Hugo Alfvén
