Subject,Object
V* EV Vul,Vulpecula
2MASS J08274034+2441411,Cancer
28 Cancri,Cancer
SDSS J081855.21+300253.5,Cancer
V* AA Cnc,Cancer
GUVV J064856.6-360215.8,Puppis
QW Puppis,Puppis
ESO 104-44,Pavo
ESO 104-22,Pavo
HD 204411,Cygnus
KIC 7900418,Cygnus
HAT-P-7,Cygnus
Ross 776,Cygnus
G 210-2,Cygnus
Nervia,Auriga
CL Cam,Camelopardalis
HD 104985 b,Camelopardalis
G 253-6,Camelopardalis
HD 104985,Camelopardalis
20 Camelopardalis,Camelopardalis
16 Camelopardalis,Camelopardalis
HD 23089,Camelopardalis
NGC 3110,Sextans
Bibhā,Sextans
V* WZ Sex,Sextans
RSCG 80,Piscis Austrinus
NGC 1921,Dorado
NGC 1785,Dorado
KMHK 191,Dorado
Gamma Doradus,Dorado
DCMC J052554.90-694353.8,Dorado
OGLE LMC-LPV-64293,Dorado
OGLE LMC-SC8 151063,Dorado
IK Tauri,Taurus
IK Tauri,Taurus
V* QW Tau,Taurus
V* PS Tau,Taurus
V* V346 Tau,Taurus
V* MM Tau,Taurus
Gliese 174,Taurus
UGC 2994,Taurus
V* V423 Tau,Taurus
CSIMon-007536,Monoceros
NGC 2349,Monoceros
[DCD2013] CSS J131216.4+042216,Virgo
[DCD2013] CSS J122638.1+093409,Virgo
[DCD2013] CSS J135822.4-024448,Virgo
[DCD2013] CSS J131106.8-030007,Virgo
[DCD2013] CSS J132820.0+060507,Virgo
[DCD2013] CSS J134844.7+010227,Virgo
[DCD2013] CSS J130408.0+073718,Virgo
[DCD2013] CSS J132745.4+054157,Virgo
V* V396 Vir,Virgo
V* V397 Vir,Virgo
SDSS J122114.17+090338.5,Virgo
2QZ J133326.9-021616,Virgo
GUVV J120642.5-075909.1,Virgo
Wolf 1494,Virgo
Gumala,Sagittarius
R Cassiopeiae,Cassiopeia
R Cassiopeiae,Cassiopeia
NGC 281,Cassiopeia
Nushagak,Cassiopeia
USGC S165,Crater
LCLG-12 061,Crater
LCLG-12 062,Crater
Shk 284,Crater
LCLG-12 068,Crater
[GTC2005] 6,Crater
RASSCALS SS2b164,Crater
Tapecue,Carina
Epsilon Coronae Australis,Corona Australis
NGC 6845,Telescopium
R Pegasi,Pegasus
MLCG 1580,Pegasus
G 29-69,Pegasus
G 68-5,Pegasus
NGC 56,Pisces
[L99] n628-824,Pisces
[L2004] n 628-1885,Pisces
[L2004] n 628-896,Pisces
[L99] n628-681,Pisces
[L99] n628-1099,Pisces
[L2004] n 628-717,Pisces
[L2004] n 628-927,Pisces
[L2004] n 628-568,Pisces
[L2004] n 628-1140,Pisces
[L99] n628-1807,Pisces
4 Ceti,Pisces
BD+08 102,Pisces
[T98b] 70,Pisces
101 Piscium,Pisces
Parumleo,Pisces
U Herculis,Hercules
U Herculis,Hercules
89 Herculis,Hercules
HD 149026 b,Hercules
V897 Her,Hercules
Mahtessian 252,Hercules
ASASSN -14gz,Hercules
SDSS J165236.28+460515.1,Hercules
NGC 6045,Hercules
NGC 6045,Hercules
[CWB2011] WLTV J160429.34+431016.8,Hercules
