Subject,Object
Popcorn Time,"GNU General Public License, version 3.0 or later"
SimPy,Expat license
VPython,Expat license
GTK,"GNU Lesser General Public License, version 2.1"
GTK,GNU Lesser General Public License
wxWidgets,GNU General Public License
Qt,GNU General Public License
wxWidgets,wxWindows Library License
FLTK,GNU Lesser General Public License
wxWidgets,wxWindows Library License
Qt,GNU Lesser General Public License
I2P,GNU General Public License
wxPython,GNU General Public License
GeoGebra,GNU General Public License
KTuberling,GNU General Public License
PyQt,GNU General Public License
Deepin,GNU General Public License
Lubuntu,GNU General Public License
Kubuntu,GNU General Public License
openSUSE,GNU General Public License
Linux Mint,GNU General Public License
NumPy,3-clause BSD License
OpenCV,3-clause BSD License
scikit-learn,3-clause BSD License
OpenCV,3-clause BSD License
Theano,3-clause BSD License
PySerial,3-clause BSD License
Revista Brasileira de Ciências Sociais,Creative Commons Attribution
"Pancreatic mucinous cystadenoma with serum CA 19-9 over 1,000,000 U/mL: a case report and review of the literature.",Creative Commons Attribution
Complete remission of Merkel cell carcinoma on the upper lip treated with radiation monotherapy and a literature review of Japanese cases.,Creative Commons Attribution
"Pancreatic mucinous cystadenoma with serum CA 19-9 over 1,000,000 U/mL: a case report and review of the literature.",Creative Commons Attribution
Complete remission of Merkel cell carcinoma on the upper lip treated with radiation monotherapy and a literature review of Japanese cases.,Creative Commons Attribution
"Pancreatic mucinous cystadenoma with serum CA 19-9 over 1,000,000 U/mL: a case report and review of the literature.",Creative Commons Attribution
Applied nanoscience,Creative Commons Attribution
Journal of environmental health science & engineering,Creative Commons Attribution
Iranian journal of environmental health science & engineering,Creative Commons Attribution
Journal of diabetes and metabolic disorders,Creative Commons Attribution
Iranian journal of environmental health science & engineering,Creative Commons Attribution
Journal of diabetes and metabolic disorders,Creative Commons Attribution
Derive,commercial software
Derive,commercial software
Pylons,4-clause BSD license
Pylons,4-clause BSD license
matplotlib,Matplotlib license
Allegro,zlib License
Allegro,zlib License
Allegro,zlib License
Allegro,zlib License
Unreal Engine,proprietary license
Unity,proprietary license
Vegueta,Creative Commons Attribution-NonCommercial-NoDerivatives
La Directa,Creative Commons Attribution-NonCommercial-NoDerivatives
Revista Pediatría de Atención Primaria,Creative Commons Attribution-NonCommercial-NoDerivatives
Trimestre Economico,Creative Commons Attribution-NonCommercial-NoDerivatives
Actualidad Económica,Creative Commons Attribution-NonCommercial-NoDerivatives
U.S. Route Numbering Sub-Committee Agenda,public domain
U.S. Route Numbering Sub-Committee Agenda,public domain
U.S. Route Numbering Sub-Committee Agenda,public domain
U.S. Route Numbering Sub-Committee Agenda,public domain
U.S. Route Numbering Committee Agenda,public domain
U.S. Route Numbering Sub-Committee Agenda,public domain
U.S. Route Numbering Sub-Committee Agenda,public domain
U.S. Route Numbering Sub-Committee Agenda,public domain
U.S. Route Numbering Sub-Committee Agenda,public domain
Pos-Amiko,Creative Commons Attribution-ShareAlike 3.0 Unported
ScientificPython,CeCILL
Blender,"GNU General Public License, version 3.0"
Blender,"GNU General Public License, version 3.0"
mlpy,"GNU General Public License, version 3.0"
gOS,Creative Commons license
RPyC,MIT license
Pyftpdlib,MIT license
SMath Studio,Creative Commons Attribution-NoDerivatives
Fedora,free license
Extramedullary plasmacytoma occuring in ileocecum: A case report and literature review.,Creative Commons Attribution-NoDerivs 4.0 International
A case report of tongue metastasis from lung squamous cell carcinoma and literature review.,Creative Commons Attribution-NoDerivs 4.0 International
Extramedullary plasmacytoma occuring in ileocecum: A case report and literature review.,Creative Commons Attribution-NoDerivs 4.0 International
A case report of tongue metastasis from lung squamous cell carcinoma and literature review.,Creative Commons Attribution-NoDerivs 4.0 International
Verba Hispanica,Creative Commons Attribution-ShareAlike
Tebeosfera,Creative Commons Attribution-ShareAlike
GNOME Maps,"GNU General Public License, version 2.0"
KGoldrunner,"GNU General Public License, version 2.0"
KFourInLine,"GNU General Public License, version 2.0"
KDiamond,"GNU General Public License, version 2.0"
KBreakout,"GNU General Public License, version 2.0"
KBlocks,"GNU General Public License, version 2.0"
KBlackbox,"GNU General Public License, version 2.0"
Kapman,"GNU General Public License, version 2.0"
Kajongg,"GNU General Public License, version 2.0"
Granatier,"GNU General Public License, version 2.0"
KNetWalk,"GNU General Public License, version 2.0"
Konquest,"GNU General Public License, version 2.0"
Monumente der Störung – Disruptive Eingriffe ins Dresdner Stadtbild,Creative Commons Attribution 4.0 International
Der Lichtenburger Konvent von 1576,Creative Commons Attribution 4.0 International
Grundlagen der Bibliotheksarbeit: Offenheit als Maxime in der Forschung,Creative Commons Attribution 4.0 International
"Heimatforschung in Europa – ein Aufruf, oder: Call for Participation",Creative Commons Attribution 4.0 International
Antike und Antikenrezeption in sächsischen Museen. Ausstellungsgeschichte – Bestandsentwicklung – Technologiewandel,Creative Commons Attribution 4.0 International
Regionenbezogene Sinnstiftung durch Antikerezeption in der sächsischen Landes- und Regionalgeschichtsschreibung des 19. und 20. Jahrhunderts,Creative Commons Attribution 4.0 International
Kompakte Darstellung der Chemnitzer Stadtgeschichte,Creative Commons Attribution 4.0 International
Kigo,"GNU General Public License, version 2.0 or later"
Hystrix,Creative Commons Attribution-NonCommercial
Informes de la Construcción,Creative Commons Attribution-NonCommercial
Miscelánea de Estudios Árabes y Hebraicos. Sección Hebreo,Creative Commons Attribution-NonCommercial
Revista del Centro de Estudios Históricos de Granada y su Reino,Creative Commons Attribution-NonCommercial
Grasas y Aceites,Creative Commons Attribution-NonCommercial
Revista Internacional de Sociología,Creative Commons Attribution-NonCommercial
Informes de la Construcción,Creative Commons Attribution-NonCommercial
Ola Financiera,Creative Commons Attribution-NonCommercial
Contexto revista de la facultad de arquitectura de la UANL,Creative Commons Attribution-NonCommercial
Revista de Estudios Empresariales,Creative Commons Attribution-NonCommercial
Revista Espaço Acadêmico,Creative Commons Attribution-NonCommercial
Kunst og Kultur,Creative Commons Attribution-NonCommercial
