Subject,Object
The Amazon,public domain
My Life,public domain
The Portrait,public domain
The Devil,public domain
The Touchstone,public domain
Ethan Frome,public domain
The Turn of the Screw,public domain
The Nigger of the 'Narcissus',public domain
The Canterville Ghost,public domain
Strange Case of Dr Jekyll and Mr Hyde,public domain
The Beast in the Jungle,public domain
The Invisible Man,public domain
Oliver Twist,public domain
The Invisible Man,public domain
Wuthering Heights,public domain
Oliver Twist,public domain
Wuthering Heights,public domain
Oliver Twist,public domain
Sense and Sensibility,public domain
Oliver Twist,public domain
Arm Reliquary of the Apostles,public domain
"Monstrance with the ""Paten of Saint Bernward""",public domain
Votive or Civic Badge with a Crowned Figure Kneeling before Christ,public domain
Reliquary of the True Cross,public domain
Table Fountain,public domain
Aristophon 7,public domain
Aristophanes 16,public domain
Aristophanes 14,public domain
Aristophanes 12,public domain
Requiem in C minor,public domain
Harmoniemesse,public domain
Missa brevis Sancti Joannis de Deo,public domain
A Cambridge Mass,public domain
Missa in honorem Sanctissimae Trinitatis,public domain
Mass in G minor,public domain
Carved Bowl,copyrighted
Cup,copyrighted
Bull's-head Lamp,public domain
Bes Lamp,public domain
Black-Topped Bowl,public domain
Decorated Amphora with Ibex Head,public domain
Barbotine Vase,public domain
Embroidered Tondo from an Altar Frontal: The Coronation of the Virgin,public domain
"Fragmentary Icon Panel, Christ in Glory",public domain
Icon of the Virgin and Child,public domain
"Fragmentary Icon Panel, Christ in Glory",public domain
Icon of the Virgin and Child,public domain
Hanging with Christian Images,public domain
Ariettes oubliées,public domain
On Wenlock Edge,public domain
Dichterliebe,public domain
On Wenlock Edge,public domain
Vase,public domain
Pitcher,public domain
Vase,public domain
Vase,public domain
Teapot,copyrighted
Teapot,public domain
Cup,public domain
Candelabrum,public domain
Teapot,copyrighted
Diccionario biográfico matritense,public domain
Unos cuantos seudónimos de escritores españoles con sus correspondientes nombres verdaderos,public domain
Diccionario biográfico y bibliográfico de escritores y artistas catalanes del siglo XIX,public domain
"Apuntes para una biblioteca española de libros, folletos y artículos, impresos y manuscritos, relativos al conocimiento y explotación de las riquezas minerales y a las ciencias auxiliares : acompañados de reseñas biográficas y de un ligero resumen",public domain
Manual de biografía y de bibliografía de los escritores españoles del siglo XIX,public domain
Ensayo de un catálogo de periodistas españoles del siglo XIX,public domain
Diccionario biográfico de artistas valencianos,public domain
Galería biográfica de artistas españoles del siglo XIX,public domain
Diccionario biográfico matritense,public domain
Gamengrund und Rüdersdorf,public domain
Im Warthebruch,public domain
In's Ruppiner Land,public domain
Um den Scharmützel-See,public domain
In's Land Lebus,public domain
Im Spreewald,public domain
Plate with the Arms of the Vitelleschi Family,public domain
Vase,public domain
Vase,public domain
Cup,public domain
El toreo. Gran diccionario tauromáquico,public domain
Apuntes bibliográficos de la prensa carlista,public domain
The English Schoole-Master,public domain
Pearl in the Palm,public domain
Troilus i Kresyda,public domain
Król Henryk IV. Część II,public domain
Błagalnice,public domain
Persowie,public domain
Siedmiu przeciw Tebom,public domain
Król Henryk V,public domain
Król Henryk VI. Część I,public domain
Torquato Tasso e la principessa Eleonora d'Este,public domain
Huckleberry Finns äventyr,public domain
Portrait of Ercole Bottrigari.,public domain
Portrait of Françoise-Auguste Gevaert.,public domain
Portrait of Anton Francesco Doni.,public domain
Portrait of Alessandro Marcello.,public domain
Portrait of Jules Beer,public domain
Portrait of unknown,public domain
Portrait of Nicolò Coccon.,public domain
Le Roi donne ses ordres pour attaquer en même tems quatre des plus fortes places de la Hollande 1672,public domain
Le Roi Arme sur Terre et sur Mer 1672,public domain
Resolution prise de faire la guerre aux Hollandois 1671,public domain
Mesures des Espagnols Rompues par la prise de Gand,public domain
Prise de la Ville et Citadelle de Gand en six jours 1678,public domain
Le Roi prend Mastrich en trente jours 1673,public domain
Passage du Rhin en présence des ennemis 1672,public domain
Faste des Puissances voisines de la France,public domain
Le Roi gouverne par lui meme 1661,public domain
"Développemens de la décoration intérieure, et des Peintres du plafond de la Galerie de Versailles",public domain
"The East Prospect of the City of Philadelphia, in the Province of Pennsylvania",public domain
The Santa Fe Trail,public domain
A Dangerous Adventure,public domain
Les Vampires,public domain
In the Days of Daniel Boone,public domain
Cocktails and Cigarettes Punch Bowl,copyrighted
Plate with the Arms of the Pucci Family,public domain
Blackware Olla,copyrighted
Plate with the Arms of the Vitelleschi Family,public domain
Bottle,copyrighted
Plate,copyrighted
Hofstede de Groot catalog raisonné volume 8,public domain
Hofstede de Groot catalog raisonné volume 7,public domain
Hofstede de Groot catalog raisonné volume 6,public domain
Hofstede de Groot catalog raisonné volume 5,public domain
Hofstede de Groot catalog raisonné volume 4,public domain
Hofstede de Groot catalog raisonné volume 3,public domain
Die Entführung aus dem Serail,public domain
Tosca,public domain
Don Giovanni,public domain
Nabucco,public domain
St John the Baptist and Veronica Diptych,public domain
Diptych of Munich,public domain
St John the Baptist and Veronica Diptych,public domain
Diptych of Munich,public domain
