Subject,Object
Joaquin de la Vega,United States of America
Ender Wiggin,United States of America
Lisa Simpson,United States of America
Bart Simpson,United States of America
Bonk,United States of America
Metallo,United States of America
Bonk,United States of America
Marcus Wright,United States of America
Joaquin de la Vega,United States of America
Danny Torrance,United States of America
Ender Wiggin,United States of America
Lisa Simpson,United States of America
Bart Simpson,United States of America
Danny Torrance,United States of America
Robert Arryn,Seven Kingdoms
Bran Stark,Seven Kingdoms
Arya Stark,Seven Kingdoms
Robert Arryn,Seven Kingdoms
Bran Stark,Seven Kingdoms
Arya Stark,Seven Kingdoms
Robert Arryn,Seven Kingdoms
Bran Stark,Seven Kingdoms
Arya Stark,Seven Kingdoms
