Subject,Object
Journal of Veterinary Science,Korea
Homenagem do Presidente Campos Salles A Santos Dumont,Brazil
Homenagem do Aero Club de France A Santos Dumont,Brazil
"Concurso ""Quem Deu Asas Ao Homem""",Brazil
"Homenagem da Municipalidad Del Rosário, de Santa Fé, Ao Centenário da Independência do Brasil",Brazil
"Homenagem da Municipalidad Del Rosário, de Santa Fé, Ao Centenário da Independência do Brasil",Brazil
"Homenagem da Municipalidad Del Rosário, de Santa Fé, Ao Centenário da Independência do Brasil",Brazil
Medalha Inter Aliados 1914-1918,Brazil
Homenagem do Aero Club de France A Santos Dumont,Brazil
Homenagem do Aero Club de France A Santos Dumont,Brazil
Cinqüentenário do 1º Vôo do 14 Bis de Santos Dumont,Brazil
Homenagem do Aerolloyd Iguassú A Santos Dumont,Brazil
Plaqueta em Homenagem A Santos Dumont,Brazil
Homenagem A Henry Bazin,Brazil
Homenagem Ao Dr. Arnaldo Vieira de Carvalho,Brazil
Revista Brasileira de Ciências Sociais,Brazil
Revista Espaço Acadêmico,Brazil
Chapa Circular,Brazil
Jogo Padrão,Brazil
Jogo Padrão,Brazil
Jogo Padrão,Brazil
Jogo Padrão,Brazil
Maçarico,Brazil
Maçarico,Brazil
Contexto revista de la facultad de arquitectura de la UANL,Mexico
Trimestre Economico,Mexico
Xohol,Mexico
suspiro de limeña,Peru
Teacher's Highland Cream,Scotland
Arthur,Canada
Arthur,Canada
Saving Mr. Banks,United Kingdom
Tomorrowland,United States of America
A Wrinkle in Time,United States of America
Tomorrowland,United States of America
Into the Woods,United States of America
A Wrinkle in Time,United States of America
Saving Mr. Banks,United States of America
Tomorrowland,United States of America
Cinderella,United Kingdom
The BFG,United Kingdom
Journal of the International AIDS Society,United Kingdom
Open Biology,United Kingdom
Florida Entomologist,United States of America
Angle Orthodontist,United States of America
Clinical epigenetics,United Kingdom
Royal Society Open Science,United Kingdom
AIP Advances,United States of America
Optics Express,United States of America
Wood Job!,Japan
The Ravine of Goodbye,Japan
Cape Nostalgia,Japan
Kuchibiru ni uta o,Japan
Idared,United States of America
Cameo,United States of America
Incident on a Dark Street,United States of America
Wake Me Up,United States of America
Summer Nationals,United States of America
2012-13 Live EP,United States of America
'Night Fishing Is Good' Tour 2008 in Sapporo,Japan
Saint Cecilia,United States of America
Straight Outta Burbank...,United States of America
Underground 15,United States of America
Happy New Year,United States of America
You Hold It All,United States of America
Crosswords,United States of America
Party Rockets GT,Japan
Babymetal,Japan
Team Syachihoko,Japan
Shiritsu Ebisu Chugaku,Japan
Doll Domination Tour,United States of America
A Dramatic Tour of Events,United States of America
Bitch We Have a Problem Tour,United States of America
