Subject,Object
scandium-50,titanium-50
caesium-151,barium-150
lead-187,mercury-183
bismuth-197,thallium-193
francium-231,radium-231
xenon-116,iodine-116
francium-228,radium-228
xenon-113,tellurium-109
barium-133m,barium-133
cerium-128,lanthanum-128
lead-194,mercury-190
ruthenium-105,rhodium-105
francium-222,radium-222
caesium-146,barium-145
lead-190,mercury-186
caesium-150,barium-149
bismuth-202,thallium-198
francium-229,radium-229
lead-192,mercury-188
barium-131m,barium-131
ruthenium-108,rhodium-108
lead-183,mercury-179
francium-224,radium-224
lead-181,thallium-181
cerium-122,barium-121
caesium-148,barium-147
bismuth-196,thallium-192
ruthenium-97,technetium-97
potassium-35,argon-35
xenon-112,iodine-112
potassium-36,chlorine-35
potassium-36,sulfur-32
barium-127m,barium-127
lead-186,mercury-182
cerium-126,lanthanum-126
praseodymium-144,neodymium-144
lead-182,mercury-178
lead-182,thallium-182
francium-225,radium-225
caesium-147,barium-146
xenon-127,iodine-127
caesium-149,barium-148
francium-227,radium-227
cerium-130,lanthanum-130
lead-204,mercury-200
bismuth-203,thallium-199
cerium-124,lanthanum-124
lead-184,mercury-180
potassium-40,calcium-40
scandium-40,calcium-40
francium-221,carbon-14
potassium-42,calcium-42
bismuth-201,thallium-197
potassium-38,argon-38
barium-129m,barium-129
cerium-125,barium-124
lead-210,mercury-206
lead-188,mercury-184
germanium-78,arsenic-78
cerium-127,lanthanum-127
lead-202,mercury-198
lead-191,mercury-187
scandium-48,titanium-48
francium-226,radium-226
germanium-71,gallium-71
praseodymium-131,cerium-131
cerium-131,lanthanum-131
ruthenium-110,rhodium-110
potassium-46,calcium-46
praseodymium-129,cerium-129
cerium-129,lanthanum-129
potassium-44,calcium-44
potassium-34,argon-33
lead-196,mercury-192
cerium-132,lanthanum-132
lead-185,mercury-181
bismuth-195,thallium-191
