Subject,Object
Die Entführung aus dem Serail,Die Entführung aus dem Serail
The Rose of Versailles,The Rose of Versailles
Don Giovanni,Don Giovanni
Wuthering Heights,Wuthering Heights
Wuthering Heights,Wuthering Heights
Conan the Barbarian,Conan the Barbarian
Angel Beats!,Angel Beats!
Touch,Touch: Ace Without A Number On His Back
Touch,Touch
Nabucco,Je chante avec toi Liberté
Oliver Twist,Oliver Twist
Oliver Twist,Oliver Twist
Oliver Twist,Oliver Twist
Oliver Twist,Oliver Twist
Wonder Woman,Wonder Woman
Wonder Woman,Wonder Woman
Wonder Woman,Wonder Woman
Wonder Woman,Wonder Woman
Superman,Superman
Superman,Superman
Superman,Superman
Tosca,Floria Tosca
The Invisible Man,The Invisible Man
The Invisible Man,The Invisible Man
Sense and Sensibility,Sense and Sensibility
