Subject,Object
NGC 3263,John Frederick William Herschel
NGC 3256,John Frederick William Herschel
NGC 2293,John Frederick William Herschel
NGC 7214,John Frederick William Herschel
NGC 3446,John Frederick William Herschel
2001 QD298,Marc W. Buie
2001 QX297,Marc W. Buie
Messier 82,Johann Elert Bode
NGC 5238,William Herschel
NGC 392,William Herschel
NGC 4435,William Herschel
NGC 160,William Herschel
NGC 524,William Herschel
NGC 4377,William Herschel
NGC 59,Ormond Stone
NGC 1875,Albert Marth
NGC 455,Albert Marth
Makemake,David L. Rabinowitz
NGC 7500,Lewis A. Swift
californium,Glenn Seaborg
berkelium,Glenn Seaborg
curium,Glenn Seaborg
NGC 2276,Friedrich August Theodor Winnecke
NGC 5450,"William Parsons, 3rd Earl of Rosse"
promethium,Charles D. Coryell
NGC 2633,Wilhelm Tempel
NGC 123,Wilhelm Tempel
50000 Quaoar,Chad Trujillo
NGC 7320,Édouard Stephan
NGC 3857,Édouard Stephan
NGC 2349,Caroline Herschel
NGC 1316,James Dunlop
Centaurus A,James Dunlop
Messier 32,Guillaume Le Gentil
