Subject,Object
Rudi Cerne,ZDF
Fedir Bohatyrchuk,University of Ottawa
Milka Babović,Croatian Radiotelevision
Aleksandr Medved,Belarusian State University of Informatics and Radioelectronics
Pauline Chen Lee,Saint Louis University
Anna Konkina,St. Petersburg State Transport University
Ardalion Ignatyev,Chuvashia State University of pedagogy
Kenneth Macdonald Beaumont,International Air Transport Association
Romuald Klim,Belarusian State Academy of Agriculture
Dimitri Poliakov,National University of Kharkiv
Guo Jie,Peking University
Richard Henry Abbatt,East Indian Railway Company
Aleksandr Yevgenyev,Saint Petersburg State University of Aerospace Instrumentation
Galina Tsareva,"Lesgaft National State University of Physical Education, Sport and Health"
