Subject,Object
September 1997,1997-09-30
2003 Madrid Trofeo Union Fenosa,2003-05-24
2005 Toray Pan Pacific Open,2005-02-06
1980 European Athletics Indoor Championships,1980-03-02
Cabinet of Reedtz-Thott,1897-05-23
Alpen Blitz,1978-01-01
October 2014,2014-10-31
2016 Volta a Catalunya,2016-03-27
2008 Vuelta a la Independencia Nacional,2008-03-02
Budyonnovsk hospital hostage crisis,1995-06-19
2015 Malaysia Super Series Premier,2015-04-05
1983 European Athletics Indoor Championships,1983-03-06
Modern pentathlon at the 2016 Summer Olympics,2016-08-20
taekwondo at the 2016 Summer Olympics,2016-08-20
diving at the 2016 Summer Olympics,2016-08-20
water polo at the 2016 Summer Olympics,2016-08-20
Badminton at the 2016 Summer Olympics,2016-08-20
2016–17 Pro12,2017-05-27
World Esperanto Congress 2001,2001-07-28
13th Landtag of Bavaria,1998-09-28
July 1937,1937-07-31
Slovenian women's national road cycling team 1993,1993-12-31
World Esperanto Congress 2004,2004-07-31
Tropical depression Two-C,1983-09-01
2007 European Athletics Indoor Championships,2007-03-04
2004 Czech International Badminton Championships,2004-10-03
World Esperanto Congress 1935,1935-08-10
1928 3-cushion world championship,1928-05-09
Second Vatican Council,1965-12-08
2014 Malaysia Super Series Premier,2014-01-19
14th Chess Olympiad,1960-11-09
2017 Volta a Catalunya,2017-03-26
2006 Czech International Badminton Championships,2006-10-02
2010–11 Celtic League,2011-05-28
2017 Tour de France,2017-07-23
Siege of Port Hudson,1863-07-09
1994 Open Gaz de France,1994-02-20
2013 Badminton World Championships,2013-08-11
The Bat,1983-01-01
24th Chess Olympiad,1980-12-06
Second Battle of Corinth,1862-10-04
First Battle of the Marne,1914-09-12
Slovenian women's national road cycling team 2001,2001-12-31
2006–07 Celtic League,2007-05-12
Grand Prix du Midi Libre 1986,1986-06-15
World Esperanto Congress 1950,1950-08-12
2008 Toray Pan Pacific Open,2008-09-21
Grand Prix du Midi Libre 1985,1985-06-16
2018 Vuelta a la Independencia Nacional,2018-02-27
2012–13 Pro 12,2013-05-25
Slovenian women's national road cycling team 1994,1994-12-31
2012 Danmark Rundt,2012-08-26
Second Battle of Petersburg,1864-06-18
2016 Tour of Belgium,2016-05-29
Cabinet of Hall II,1863-12-31
2000 Czech International Badminton Championships,2000-10-01
2016 Vuelta a la Independencia Nacional,2016-03-05
2019 Tour of Norway,2019-06-02
2019 Tour of Norway,2019-06-02
Hurricane Genevieve,2014-08-14
World Esperanto Congress 1996,1996-07-27
Typhoon Dolphin,2015-05-24
Typhoon Dolphin,2015-05-24
2001 Britannic Asset Management International Championships,2001-06-23
29th Chess Olympiad,1990-12-04
World Esperanto Congress 1907,1907-08-17
2015 ATP Challenger 2001 Team Padova,2015-07-05
basketball at the 2016 Summer Olympics,2016-08-21
2015 OEC Kaohsiung,2015-09-27
2018 Settimana Internazionale di Coppi e Bartali,2018-03-25
2018 Settimana Internazionale di Coppi e Bartali,2018-03-25
Imperial Trans-Antarctic Expedition,1916-01-01
1969 European Indoor Games,1969-03-09
Council of Vienne,1312-05-14
Cabinet of M.P. Friis,1920-05-05
2nd German Bundestag,1957-10-15
2010 Badminton World Championships,2010-08-29
2000 Energis Dutch Open,2000-07-23
2017 Presidential Tour of Turkey,2017-10-15
2017 Presidential Tour of Turkey,2017-10-15
2017 Presidential Tour of Turkey,2017-10-15
2017 Presidential Tour of Turkey,2017-10-15
2013–14 Pro 12,2014-05-31
May 2014,2014-05-31
2014 Giro d'Italia,2014-06-01
7th Landtag of Bavaria,1974-11-12
2015 Presidential Tour of Turkey,2015-05-03
1896 Cedar Keys hurricane,1896-09-30
2009–10 Celtic League,2010-05-29
Battle of Roanoke Island,1862-02-08
3rd German Bundestag,1961-10-17
2017 Danmark Rundt,2017-09-16
2010 Open GDF Suez,2010-02-14
Battle of Rain,1632-04-15
2014 Badminton World Championships,2014-08-31
August 2014,2014-08-31
Cabinet of Otto Liebe,1920-04-05
2017 Abu Dhabi Tour,2017-02-26
2017 Badminton World Championships,2017-08-27
2019 Six Nations Championship,2019-03-16
2015 Tour of Belgium,2015-05-31
Hurricane Patricia,2015-10-24
Hurricane Walaka,2018-10-06
2018 world 3-cushion championship,2018-10-06
Battle of Richmond,1862-08-30
12th Landtag of Bavaria,1994-09-25
Slovenian women's national road cycling team 2002,2002-12-31
Grand Prix du Midi Libre 1987,1987-06-24
2004 Open Gaz de France,2004-02-15
Tropical Depression One-E,1988-06-18
2014 Indonesia Super Series Premier,2014-06-22
2019 Indonesia Open Badminton Championships,2019-07-21
Tropical Depression Fifteen-E,1988-08-29
Tropical Depression One-C,1986-07-30
Tropical Depression One-C,1985-08-22
Disaster Transport,2013-07-29
First Vatican Council,1870-10-20
Typhoon Fran,1976-09-16
World Esperanto Congress 2009,2009-08-01
1998 Páginas Amarillas Open,1998-05-23
2018 Tour of Belgium,2018-05-27
2017 European Athletics Indoor Championships,2017-03-05
2016 Tour of the Basque Country,2016-04-09
Cabinet of Madsen-Mygdal,1929-04-30
1999 Direct Line International Championships,1999-06-19
Hurricane Marie,2014-09-02
2002 Czech International Badminton Championships,2002-10-06
Discovery Expedition,1904-01-01
Typhoon Goni,2015-08-30
Typhoon Goni,2015-08-30
Tropical Depression Four-E,1988-07-04
2017 Tour of Belgium,2017-05-28
2017 Giro d'Italia,2017-05-28
World Esperanto Congress 2015,2015-08-01
judo at the 2016 Summer Olympics,2016-08-12
archery at the 2016 Summer Olympics,2016-08-12
Grand Prix du Midi Libre 1984,1984-06-17
March 2014,2014-03-31
2018 Six Nations Championship,2018-03-17
Battle of Shiloh,1862-04-07
2012 Eneco Tour,2012-08-12
World Esperanto Congress 1933,1933-08-05
14th Landtag of Bavaria,2003-10-06
1988 Spanish Open,1988-05-01
4th German Bundestag,1965-10-19
2001 Czech International Badminton Championships,2001-10-07
Kyoto Animation arson attack,2019-07-18
Tropical depression One-C,1983-08-20
Tropical depression Seventeen-E,1984-09-12
Battle of Pea Ridge,1862-03-08
5th German Bundestag,1969-10-20
Operation Harpoon,1942-06-15
11th Landtag of Bavaria,1990-10-24
2016 Presidential Tour of Turkey,2016-05-01
2016 Presidential Tour of Turkey,2016-05-01
2016 Tour de Romandie,2016-05-01
2016 MercedesCup,2016-06-13
2018 Badminton World Championships,2018-08-05
1st German Bundestag,1953-10-06
2019 Settimana Internazionale di Coppi e Bartali,2019-03-31
2019 Settimana Internazionale di Coppi e Bartali,2019-03-31
1964 World 3-cushion championship,1964-06-28
Hurricane Lane,2018-08-29
Slovenian women's national road cycling team 1997,1997-12-31
1996 WTA German Open,1996-05-19
fencing at the 2016 Summer Olympics,2016-08-14
shooting at the 2016 Summer Olympics,2016-08-14
December 2014,2014-12-31
2015–16 Pro12,2016-05-28
1998 Direct Line International Championships,1998-06-20
9th Landtag of Bavaria,1982-10-20
2015 Badminton World Championships,2015-08-16
Battle of Peebles's Farm,1864-10-02
Second voyage of HMS Beagle,1836-10-02
2017 Vuelta a España,2017-09-10
Hurricane Emilia,1994-07-25
Tropical Depression Eighteen-E,1988-09-15
2015 Danmark Rundt,2015-08-08
2019 Presidential Tour of Turkey,2019-04-21
2019 Presidential Tour of Turkey,2019-04-21
2019 Presidential Tour of Turkey,2019-04-21
2018 Tour of Norway,2018-05-20
2018 Tour of Norway,2018-05-20
2018 Tour de l'Ain,2018-05-20
November 2014,2014-11-30
November 2014,2014-11-30
2017 Tour de l'Ain,2017-08-12
2015 Indonesia Super Series Premier,2015-06-07
2015 Gimcheon Open ATP Challenger,2015-06-07
Hurricane Ava,1973-06-12
1986 European Athletics Indoor Championships,1986-02-23
World Esperanto Congress 1986,1986-08-02
2015 MercedesCup,2015-06-14
Grand Prix du Midi Libre 1981,1981-06-14
1988 European Athletics Indoor Championships,1988-03-06
2011 Badminton World Championships,2011-08-14
Second Battle of Winchester,1863-06-15
September 2014,2014-09-30
Rowing at the 2016 Summer Olympics,2016-08-13
Tennis at the 2016 Summer Olympics – Mixed doubles,2016-08-13
2016 Tour de l'Ain,2016-08-13
2016 Tour de l'Ain,2016-08-13
2011 Toray Pan Pacific Open,2011-10-01
2000 Direct Line International Championships,2000-06-24
World Esperanto Congress 1963,1963-08-10
2003 MasterCard German Open,2003-05-11
Slovenian women's national road cycling team 1995,1995-12-31
8th Landtag of Bavaria,1978-10-30
Battle of Rio de Janeiro,1711-09-22
Tropical Depression Nine-E,1988-07-29
Siege of Petropavlovsk,1854-08-28
2008–09 Celtic League,2009-05-17
2016 Malaysia Super Series Premier,2016-04-10
July 2014,2014-07-31
1929 3-cushion world championship,1929-06-10
World Esperanto Congress 1974,1975-08-02
10th Landtag of Bavaria,1986-10-22
2016 Indonesia Open Superseries Premier,2016-06-05
2001 Energis Open,2001-07-22
World Esperanto Congress 1921,1921-08-06
Battle of the Atlantic,1945-05-08
2019 Badminton World Championships,2019-08-25
2017 Tour Down Under,2017-01-22
2017 Six Nations Championship,2017-03-18
2014–15 Pro12,2015-05-30
Grand Prix du Midi Libre 1983,1983-06-19
Council of Constance,1418-05-01
1989 Spanish Open,1989-04-30
2013 Giro d'Italia,2013-05-26
Hurricane Willa,2018-10-24
2004 Ladies German Open,2004-05-09
2004 Ladies German Open,2004-05-09
1998 Open Gaz de France,1998-02-15
Grand Prix du Midi Libre 1982,1982-06-20
10th Chess Olympiad,1952-08-31
Slovenian women's national road cycling team 1999,1999-12-31
Black Hole,2005-03-05
2011 Vuelta a la Independencia Nacional,2011-02-27
2017 Indonesia Super Series,2017-06-18
2012 Toray Pan Pacific Open,2012-09-29
Second Battle of Deep Bottom,1864-08-20
January 2015,2015-01-31
2015 Nielsen Pro Tennis Championships,2015-07-11
2003 Czech International Badminton Championships,2003-10-05
1962 Malaysia Open Badminton Championships,1962-09-09
2002 Energis Open,2002-07-21
2007–08 Celtic League,2008-05-10
Seven Days Battles,1862-07-01
Slovenian women's national road cycling team 1996,1996-12-31
2005 European Athletics Indoor Championships,2005-03-06
2018 Presidential Tour of Turkey,2018-10-14
2018 Presidential Tour of Turkey,2018-10-14
2018 Presidential Tour of Turkey,2018-10-14
2018 Presidential Tour of Turkey,2018-10-14
2018 Presidential Tour of Turkey,2018-10-14
Tropical depression Eighteen-E,1984-09-15
Slovenian women's national road cycling team 2000,2000-12-31
