Subject,Object
1970 Italian Grand Prix,68.0
1968 Italian Grand Prix,68.0
1966 Italian Grand Prix,68.0
1969 Italian Grand Prix,68.0
1995 European Grand Prix,67.0
1996 European Grand Prix,67.0
1984 European Grand Prix,67.0
1985 German Grand Prix,67.0
2017 Paris–Roubaix,257.0
2017 Paris–Roubaix,257.0
1983 European Grand Prix,76.0
1993 European Grand Prix,76.0
2008 Monaco Grand Prix,76.0
1976 Dutch Grand Prix,75.0
1985 European Grand Prix,75.0
1975 Monaco Grand Prix,75.0
2012 European Grand Prix,57.0
2009 European Grand Prix,57.0
1951 Liège–Bastogne–Liège,211.0
1973 Dutch Grand Prix,72.0
1983 Dutch Grand Prix,72.0
2005 European Grand Prix,59.0
1987 German Grand Prix,45.0
1986 German Grand Prix,45.0
1984 German Grand Prix,45.0
1983 German Grand Prix,45.0
1982 German Grand Prix,45.0
1981 German Grand Prix,45.0
1980 German Grand Prix,45.0
1979 German Grand Prix,45.0
1978 German Grand Prix,45.0
1984 Dutch Grand Prix,71.0
1953 Liège–Bastogne–Liège,236.0
1953 Liège–Bastogne–Liège,236.0
1954 Liège–Bastogne–Liège,236.0
1953 Liège–Bastogne–Liège,236.0
1954 Liège–Bastogne–Liège,236.0
2015 Paris–Roubaix,253.5
2015 Paris–Roubaix,253.5
2015 Paris–Roubaix,253.5
2015 Paris–Roubaix,253.5
2015 Paris–Roubaix,253.5
1933 Grand Prix des Nations,142.0
1932 Grand Prix des Nations,142.0
2012 Monaco Grand Prix,78.0
1974 Monaco Grand Prix,78.0
1976 Monaco Grand Prix,78.0
2003 Monaco Grand Prix,78.0
2014 Monaco Grand Prix,78.0
1997 Monaco Grand Prix,62.0
1952 Liège–Bastogne–Liège,229.0
1999 European Grand Prix,66.0
2016 European Grand Prix,51.0
2016 Paris–Roubaix,257.5
2016 Paris–Roubaix,257.5
2016 Paris–Roubaix,257.5
2016 Paris–Roubaix,257.5
1949 Liège–Bastogne–Liège,256.0
1949 Liège–Bastogne–Liège,256.0
