Subject,Object
"Design drawing from the Jos De Beer collection, ref. obj-0002690",Ferro-Gallic print
"Design drawing from the Jos De Beer collection, ref. obj-0002690",Ferro-Gallic print
"Musée Saint-Raymond, 26411",highlight
"Musée Saint-Raymond, 26422",highlight
"Musée Saint-Raymond, 26411",slipware
"Musée Saint-Raymond, 26422",slipware
Skyphos,slipware
"Musée Saint-Raymond, 26369",slipware
"Musée Saint-Raymond, 26395",slipware
"Musée Saint-Raymond, 26369",slipware
"Design drawing from the Jos De Beer collection, ref. obj-0002530",Pen and wash drawing
"Design drawing from the Jos De Beer collection, ref. obj-0002523",Pen and wash drawing
Flushed Away,clay animation
Wallace & Gromit: The Curse of the Were-Rabbit,clay animation
Chicken Run,clay animation
Wallace & Gromit: The Curse of the Were-Rabbit,clay animation
Chicken Run,clay animation
Wallace & Gromit: The Curse of the Were-Rabbit,clay animation
Chicken Run,clay animation
Wallace & Gromit: The Curse of the Were-Rabbit,clay animation
Chicken Run,clay animation
Wallace & Gromit: The Curse of the Were-Rabbit,clay animation
Chicken Run,clay animation
Flushed Away,clay animation
Chicken Run,clay animation
Closed Mondays,clay animation
Embroidered Tondo from an Altar Frontal: The Coronation of the Virgin,or nué
Appliqué inv. 848,guipure
Appliqué inv. 739,guipure
Appliqué inv. 734,guipure
Appliqué inv. 733,guipure
Green damask wall hangings,weaving
Green damask wall hangings,weaving
Green damask wall hangings,weaving
Green damask wall hangings,weaving
Green damask wall hangings,weaving
Green damask wall hangings,weaving
Hanging with Christian Images,plain weave
Tapestry fragments on a green ground,textile painting
Tapestry fragments on a red ground,textile painting
"Fragmentary Icon Panel, Christ in Glory",dovetailing
Icon of the Virgin and Child,dovetailing
"Fragmentary Icon Panel, Christ in Glory",slit tapestry weaving
Icon of the Virgin and Child,slit tapestry weaving
Verdure with birds,tapestry weaving
Episode from Roman History: Aemilius Paullus Becomes Consul for the Second Time,tapestry weaving
A Stop on the Journey,tapestry weaving
"Tapestry fragment ""Quand Dieu vouldra""",tapestry weaving
