Subject,Object
First inauguration of Ulysses S. Grant,Presidency of Ulysses S. Grant
Expedition 61,International Space Station
Expedition 60,International Space Station
Expedition 59,International Space Station
Expedition 58,International Space Station
Expedition 57,International Space Station
Expedition 56,International Space Station
Expedition 55,International Space Station
Expedition 54,International Space Station
Expedition 52,International Space Station
Expedition 49,International Space Station
Expedition 47,International Space Station
Expedition 46,International Space Station
Expedition 45,International Space Station
First inauguration of Richard Nixon,Presidency of Richard Nixon
Japan at the 2018 FIFA World Cup,2018 FIFA World Cup
France at the 2018 FIFA World Cup,2018 FIFA World Cup
England at the 2018 FIFA World Cup,2018 FIFA World Cup
Belgium at the 2018 FIFA World Cup,2018 FIFA World Cup
Uruguay at the 2018 FIFA World Cup,2018 FIFA World Cup
Spain at the 2018 FIFA World Cup,2018 FIFA World Cup
Russia at the 2018 FIFA World Cup,2018 FIFA World Cup
Mexico at the 2018 FIFA World Cup,2018 FIFA World Cup
Argentina at the 2018 FIFA World Cup,2018 FIFA World Cup
First inauguration of Thomas Jefferson,Presidency of Thomas Jefferson
First inauguration of Harry S. Truman,Truman Administration
first inauguration of Theodore Roosevelt,Presidency of Theodore Roosevelt
kindness,Christianity
kindness,Christianity
