Subject,Object
1970 Italian Grand Prix,Clay Regazzoni
1976 Dutch Grand Prix,Clay Regazzoni
2009 Australian Grand Prix,Nico Rosberg
1988 Australian Grand Prix,Alain Prost
1984 German Grand Prix,Alain Prost
1998 Canadian Grand Prix,Michael Schumacher
1995 Canadian Grand Prix,Michael Schumacher
1985 Australian Grand Prix,Keke Rosberg
1968 Italian Grand Prix,Jackie Oliver
1985 German Grand Prix,Niki Lauda
1984 Dutch Grand Prix,René Arnoux
1983 Dutch Grand Prix,René Arnoux
1983 German Grand Prix,René Arnoux
1966 Italian Grand Prix,Ludovico Scarfiotti
1986 Australian Grand Prix,Nelson Piquet
1982 German Grand Prix,Nelson Piquet
2018 Australian Grand Prix,Daniel Ricciardo
1969 Italian Grand Prix,Jean-Pierre Beltoise
1973 Dutch Grand Prix,Ronnie Peterson
1978 German Grand Prix,Ronnie Peterson
1981 German Grand Prix,Alan Jones
1980 German Grand Prix,Alan Jones
2010 Australian Grand Prix,Mark Webber
2005 Australian Grand Prix,Fernando Alonso
1979 German Grand Prix,Gilles Villeneuve
1988 Canadian Grand Prix,Ayrton Senna
1985 Canadian Grand Prix,Ayrton Senna
1991 Australian Grand Prix,Gerhard Berger
1987 Australian Grand Prix,Gerhard Berger
1986 German Grand Prix,Gerhard Berger
2013 Australian Grand Prix,Kimi Räikkönen
2006 Australian Grand Prix,Kimi Räikkönen
2008 Australian Grand Prix,Heikki Kovalainen
1991 Canadian Grand Prix,Nigel Mansell
1990 Australian Grand Prix,Nigel Mansell
1987 German Grand Prix,Nigel Mansell
