Subject,Object
Debagarh district,154290
Dornala mandal,21683
Patuakhali Sadar Upazila,161067
Jagannathpur Upazila,129526
Atchampet mandal,28698
Bankura district,1758579
Santhamaguluru mandal,29173
Martur mandal,36779
Veligandla mandal,17265
Mirzaganj Upazila,62424
Manpura Upazila,37836
Tangutur mandal,31446
Patharghata Upazila,83383
Venkatachalam mandal,30491
Janakavarampanguluru mandal,22700
Racherla mandal,17621
Kandhamal district,373165
Yerragondapalem mandal,30903
Jajpur district,901158
Babuganj Upazila,72775
Birbhum district,1711484
Birbhum district,1711484
Betagi Upazila,60462
Bhola Sadar Upazila,216308
Nayagarh district,460153
Santhanuthala Padu mandal,32040
Bamna Upazila,40126
South 24 Parganas district,3988183
Kurichedu mandal,19964
Parchur mandal,28046
Banaripara Upazila,75115
Kendrapara district,722547
