Subject,Object
Saving Mr. Banks,Los Angeles
A Wrinkle in Time,New Zealand
A Wrinkle in Time,Los Angeles
Saving Mr. Banks,Los Angeles
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Los Angeles
Saving Mr. Banks,Los Angeles
Saving Mr. Banks,Los Angeles
Saturday Night Live,NBC
The Godfather,Long Island
The Godfather,New Jersey
Rocky,Santa Monica
Rocky,Philadelphia
The Mummy,California
Halloween,California
Tomorrowland,Florida
Tomorrowland,Paris
Tomorrowland,Spain
Wonder Woman 1984,Spain
The Godfather Part II,Sicily
The Godfather Part II,Florida
"Suddenly, Last Summer",Spain
Ocean's Twelve,Florida
"Suddenly, Last Summer",Spain
Reprise,Paris
Eretz Nehederet,Herzliya Studios
Morbius,Atlanta
Into the Woods,London
Night of the Living Dead,Pittsburgh
Tatort: Gestern war kein Tag,Munich
Cinderella,Hampton Court Palace
Cinderella,England
Cinderella,Hampton Court Palace
Cinderella,England
Cinderella,England
Cinderella,England
Cinderella,Hampton Court Palace
The BFG,Vancouver
The BFG,Vancouver
Civil Courage,Berlin
Der Sommer der Gaukler,Bavarian Forest Museum Village
Der Sommer der Gaukler,Bavarian Forest Museum Village
2025,Yavne
Grave Decisions,Bavaria
Grave Decisions,Bavaria
Family Feud,La Plaine Saint-Denis
The Neon Demon,Canfield-Moreno Estate
Black Widow,Norway
The Exorcist,Mosul
Beauty and the Beast,Shepperton Studios
Beauty and the Beast,Shepperton Studios
Beauty and the Beast,Shepperton Studios
Alien Autopsy,Pinewood Studios
Godzilla vs. Kong,Australia
Jaws,Australia
