Subject,Object
UDP-N-acetylglucosamine--N-acetylmuramyl-,Mycobacterium tuberculosis H37Rv
chaperone protein DnaJ    Rv2373c,Mycobacterium tuberculosis H37Rv
UDP-N-acetylglucosamine--N-acetylmuramyl-,Mycobacterium tuberculosis H37Rv
30S ribosomal protein S7    Rv0683,Mycobacterium tuberculosis H37Rv
phosphoglycerate kinase    Rv1437,Mycobacterium tuberculosis H37Rv
thioredoxin reductase    Rv3913,Mycobacterium tuberculosis H37Rv
urease accessory protein UreF    Rv1851,Mycobacterium tuberculosis H37Rv
30S ribosomal protein S7    Rv0683,Mycobacterium tuberculosis H37Rv
phosphoglycerate kinase    Rv1437,Mycobacterium tuberculosis H37Rv
thioredoxin reductase    Rv3913,Mycobacterium tuberculosis H37Rv
urease accessory protein UreF    Rv1851,Mycobacterium tuberculosis H37Rv
50S ribosomal protein L1    Rv0641,Mycobacterium tuberculosis H37Rv
cation transporter ATPase J    Rv3743c,Mycobacterium tuberculosis H37Rv
potassium-transporting ATPase subunit B    Rv1030,Mycobacterium tuberculosis H37Rv
chaperone protein DnaJ    Rv2373c,Mycobacterium tuberculosis H37Rv
