Subject,Object
2017 Milano–Torino,Fabio Aru
2017 Tre Valli Varesine,Thibaut Pinot
2017 Milano–Torino,Thibaut Pinot
2017 Tre Valli Varesine,Thibaut Pinot
2017 Milano–Torino,Thibaut Pinot
2017 Tre Valli Varesine,Thibaut Pinot
2017 Milano–Torino,Rigoberto Urán
2017 Tre Valli Varesine,Vincenzo Nibali
2017 Milano–Torino,Egan Bernal
Paris-Nice 2019,Egan Bernal
Paris-Nice 2019,Jack Haig
Paris-Nice 2019,George Bennett
Paris-Nice 2019,Michał Kwiatkowski
Paris-Nice 2019,Romain Bardet
1956 Paris-Tours,Henri Denys
1956 Paris-Tours,Albert Dolhats
2017 Paris–Roubaix,John Degenkolb
2015 Paris–Roubaix,Jens Debusschere
2015 Paris–Roubaix,Martin Elmiger
2015 Paris–Roubaix,Alexander Kristoff
2015 Paris–Roubaix,Jens Keukeleire
2015 Paris–Roubaix,John Degenkolb
2017 Paris–Roubaix,John Degenkolb
2018 Paris–Troyes,Adrien Petit
2018 Paris–Troyes,Damien Touzé
2016 Paris–Roubaix,Imanol Erviti
2016 Paris–Roubaix,Adrien Petit
2016 Paris–Roubaix,Edvald Boasson Hagen
2016 Paris–Roubaix,Heinrich Haussler
2011 Route Adélie,Gianni Meersman
2015 La Flèche Wallonne Féminine,Emma Johansson
2017 Grand Prix de Fourmies,Marc Sarreau
2017 Grand Prix de Fourmies,Rüdiger Selig
1949 Liège–Bastogne–Liège,Maurice Meersman
1949 Liège–Bastogne–Liège,Jacques Geus
2017 Kuurne–Brussels–Kuurne,Jasper Stuyven
2017 Paris–Nice,Ilnur Zakarin
2017 Paris–Troyes,Bert Van Lerberghe
2017 Paris–Troyes,Justin Jules
2017 Ster ZLM Toer,Laurens De Plus
2017 Ster ZLM Toer,Maxime Vantomme
2017 Ster ZLM Toer,Maxime Vantomme
2017 Ster ZLM Toer,Maxime Vantomme
2017 Ster ZLM Toer,Laurens De Plus
2017 Ster ZLM Toer,Maxime Vantomme
2017 Ster ZLM Toer,José Gonçalves
1953 Liège–Bastogne–Liège,Jan Storms
1953 Liège–Bastogne–Liège,Robert Vanderstockt
1952 Liège–Bastogne–Liège,Henri Van Kerckhove
1954 Liège–Bastogne–Liège,Henri Van Kerckhove
1953 Liège–Bastogne–Liège,Raoul Rémy
1954 Liège–Bastogne–Liège,Raoul Rémy
2018 ZLM Tour,Max Kanter
2018 ZLM Tour,Rui Oliveira
2018 Paris-Nice,Dylan Teuns
2018 Paris-Nice,Tim Wellens
2018 Paris-Nice,Felix Großschartner
2018 Paris-Nice,Jon Izagirre
2018 Clásico RCN,Óscar Sevilla
2018 Clásico RCN,Óscar Sevilla
1952 Paris-Tours,André Darrigade
1952 Paris-Tours,Louison Bobet
2017 Grand Prix Impanis-Van Petegem,Amund Grøndahl Jansen
1950 Paris-Tours,Jean Bogaerts
1950 Paris-Tours,Émile Idée
1998 Route Adélie,Cezary Zamana
2009 Volta ao Algarve,Rubén Plaza
2009 Volta ao Algarve,Rubén Plaza
1951 Liège–Bastogne–Liège,Jean Brun
2018 Tour de Langkawi,Artem Ovechkin
2018 Tour de Langkawi,Artem Ovechkin
2017 Le Samyn,Florian Sénéchal
2019 Le Samyn,Florian Sénéchal
2015 Giro del Piemonte,Daniele Bennati
2014 Danmark Rundt,Alexey Lutsenko
2009 Route Adélie,Romain Feillu
2009 Route Adélie,Martin Pedersen
2000 Scheldeprijs,Matthew Gilmore
2000 Scheldeprijs,Paolo Bossoni
2019 Danmark Rundt,Lasse Norman Hansen
2017 ZLM Tour,Christopher Lawless
2017 ZLM Tour,Leon Rohde
2016 Le Samyn,Scott Thwaites
2017 Boucles de l'Aulne,Odd Christian Eiking
2017 Boucles de l'Aulne,Mikel Bizkarra
2017 Boucles de l'Aulne,Julien Loubet
2017 Boucles de l'Aulne,Mathias Frank
2017 Boucles de l'Aulne,Laurent Pichon
2010 Route Adélie,Laurent Pichon
2010 Route Adélie,Laurent Pichon
2012 Route Adélie,Laurent Pichon
2018 Le Samyn,Alexandre Pichot
2006 Scheldeprijs,Jens Renders
2006 Scheldeprijs,Niko Eeckhout
2006 Scheldeprijs,Jeremy Hunt
2010 Volta ao Algarve,Alberto Contador
2010 Volta ao Algarve,Alberto Contador
"2017 Tour de France, Stage 8",Alberto Contador
"2017 Vuelta a España, Stage 15",Wilco Kelderman
"2017 Vuelta a España, Stage 15",Alberto Contador
2018 Coppa Ugo Agostoni,Enrico Gasparotto
