Subject,Object
Ender Wiggin,Andrew
Ender Wiggin,Andrew
Suu,Sue
Metallo,John
Bart Simpson,Bartholomew
Bart Simpson,Bartholomew
Wallace West,Wally
Wally West,Wally
Wallace West,Wally
Wally West,Wally
Wallace West,Wally
Wally West,Wally
Wallace West,Wally
Wally West,Wally
Arya Stark,Arya
Arya Stark,Arya
Arya Stark,Arya
Bran Stark,Brandon
Bran Stark,Brandon
Bran Stark,Brandon
Deathstroke,Slade
Lisa Simpson,Marie
Lisa Simpson,Marie
Moka Akashiya,Moka
Danny Torrance,Anthony
Danny Torrance,Anthony
Bonk,Benjamin
Bonk,Benjamin
Tsurara Shirayuki,Tsurara
Mizore Shirayuki,Mizore
Count Vertigo,Werner
Robert Arryn,Robert
Robert Arryn,Robert
Robert Arryn,Robert
Marcus Wright,Marcus
