Subject,Object
Iron Man,fails the Bechdel Test
Iron Man,fails the Bechdel Test
Iron Man,fails the Bechdel Test
Iron Man,fails the Bechdel Test
The Incredible Hulk,fails the Bechdel Test
Iron Man,fails the Bechdel Test
NKCR AUT ID,VIAF component
Bibliothèque nationale de France ID,VIAF component
NCL ID,VIAF component
Libraries Australia ID,VIAF component
Vatican Library ID,VIAF component
CONOR ID,VIAF component
NKCR AUT ID,VIAF component
Bibliothèque nationale de France ID,VIAF component
NCL ID,VIAF component
National Library of Israel ID,VIAF component
Libraries Australia ID,VIAF component
Vatican Library ID,VIAF component
Saving Mr. Banks,passes the Bechdel Test
Tomorrowland,passes the Bechdel Test
A Wrinkle in Time,passes the Bechdel Test
Tomorrowland,passes the Bechdel Test
Into the Woods,passes the Bechdel Test
A Wrinkle in Time,passes the Bechdel Test
Saving Mr. Banks,passes the Bechdel Test
Tomorrowland,passes the Bechdel Test
Cinderella,passes the Bechdel Test
The BFG,passes the Bechdel Test
Captain America: The Winter Soldier,passes the Bechdel Test
Captain America: The Winter Soldier,passes the Bechdel Test
Captain America: The Winter Soldier,passes the Bechdel Test
Captain America: The Winter Soldier,passes the Bechdel Test
Captain America: The Winter Soldier,passes the Bechdel Test
Captain America: The Winter Soldier,passes the Bechdel Test
Cinderella,passes the Bechdel Test
Beauty and the Beast,passes the Bechdel Test
Cinderella,passes the Bechdel Test
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",passes the Bechdel Test
Cinderella,passes the Bechdel Test
Beauty and the Beast,title for Spain
Saving Mr. Banks,title for Spain
Cinderella,title for Spain
Beauty and the Beast,title for Spain
Cinderella,title for Spain
Saving Mr. Banks,title for Hispanic America
The BFG,teaser trailer
Cinderella,teaser trailer
Library of Congress authority ID,prefix
Library of Congress authority ID,prefix
Rotten Tomatoes ID,prefix
