Subject,Object
St. Francis in the Desert,124.4
"Eastern view of Wrexham church, from Mount street",310.0
Crucifix no. 434,247.0
Modern Art,525.0
Fulls de la vida,102.0
José Augusto César Salgado,0.55
Chodovský buk,18.0
Horses Amphora,88.0
Horses Amphora,88.0
Horses Amphora,88.0
Scale model of Loire-MnM 5 MM 9,97.0
Vernal Fall,97.0
Glen Alpine Falls,73.0
Salon Pedal,1394.0
Cesnola krater,114.9
Cesnola krater,114.9
Rajah,785.0
Probopass,140.0
The vale of Llangollen,140.0
Scale model of Sans Pareil-MnM 13 MG 1,230.0
Appliqué inv. 9619,116.0
Statue of Adoniran Barbosa,0.6
Llibre d'Horas,545.0
Bradley his book,1068.0
Appliqué inv. 724,125.0
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 65/2,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 65/6,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 51/14,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/4,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/5,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/3,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/15,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/19,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 51/21,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 51/22,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 50/25,109.1
Mappa Topographico do Municipio de São Paulo - Parte Principal da Cidade - Folha 52/3,109.1
Ctiborův dub,9.0
Ctiborův dub,9.0
4 Gats,582.0
Jilm habrolistý na Přemilově,30.0
Židák u Rožďalovic,30.0
Židák u Rožďalovic,30.0
Magnemite,30.0
Durant,30.0
The Angelus,55.5
Venus of Urbino,119.2
Terracotta aryballos signed by Nearchos,7.8
The Daughters of Catulle Mendès,161.9
Appliqué inv. 9472,13.0
Tepelský dub,24.0
Paulina Falls,24.0
Platan javorolistý v zahradě Kinských,24.0
Platan javorolistý v zahradě Kinských,24.0
Princess Leia,1.5
Princess Leia,1.5
Scale model of Louléa-MnM 7 MM 66,38.0
Terracotta amphora,57.5
The Hedges Vishnu,93.0
Scale model of Paraguay-MnM 7 MM 3,132.0
Tahquamenon Falls,15.0
Carolina Ribeiro,0.52
Scale model of Pascal-MnM 7 MM 25,34.0
Platan u svaté Anny,34.0
Oslí buk,29.0
Oslí buk,29.0
Neck Amphora by Exekias,40.5
Vasupujya,210.0
Rájovský javor,17.0
Standing figure of Parvati,62.0
Lípa v Brtníkách,25.0
Galovački buk,25.0
Crickhowel Castle,110.0
Crucifix,96.5
"Pylle Priory, Pembrokeshire",59.0
Murchison Falls,43.0
Cardiganshire: near Aberystwith,181.0
James Bruce Falls,840.0
The Milkmaid,45.5
Devich'i Kosy,31.7
Portinari Altarpiece,253.0
"S.W. view Milford town, Pembrokeshire",294.0
Cycles et Automobiles Legia,952.0
Cycles et Automobiles Legia,952.0
Isle of Anglesea near the Paris mine,180.0
"Figure of Varaha, the Boar incarnation of Vishnu",64.8
Parshvanatha,4.12
Hypno,160.0
Bisharp,160.0
Mona Lisa,77.0
Qui-Gon Jinn,1.93
Qui-Gon Jinn,1.93
Exeggutor,200.0
Lace sample inv. 851,7.0
View near the Usk at Crickhowell,108.0
Wynaut,60.0
Cycles Perfecta,154.0
Magnezone,120.0
Crucifix with stories of the Passion and Redemption,277.0
Painted Cross,277.0
Scale model of Laurent Schiaffino-MnM 7 MM 63,37.0
Buk červenolistý v Karviné,20.0
Buk červenolistý v Karviné,20.0
Dub u Větrova,20.0
Lužecký klen,20.0
Sadový platan,20.0
Sadový platan,20.0
Veliki slap,78.0
attic geometric Neck amphora,67.5
Hladový buk u Dětřichovce,32.0
Kaasův buk,32.0
Hladový buk u Dětřichovce,32.0
Scale model of a coal cargo ship under construction-MnM 2003.29.1,42.0
The Menai Bridge,164.0
Mourner-CA 295,18.5
Gateway Of Carnarvon Castle,104.0
Kylix by the Providence Painter,8.2
Kylix by the Providence Painter,8.2
Kylix by the Providence Painter,8.2
Cocorico,135.0
Cocorico,135.0
Platan javorolistý na Karlově náměstí,14.0
Aureliano Leite,0.65
Fallingwater Cascades,100.0
Drowzee,100.0
Escavalier,100.0
