Subject,Object
Park Güell,Bien de Interés Cultural
Park Güell,Bien de Interés Cultural
La Seo Cathedral,Bien de Interés Cultural
Co-cathedral of San Pedro,Bien de Interés Cultural
Basilica of Our Lady of the Pillar,Bien de Interés Cultural
Puerta de San Andrés,Bien de Interés Cultural
Portal i restes de fortificació de l'Aranyó,Bien de Interés Cultural
Portal del Agua,Bien de Interés Cultural
Puerta del Cambrón,Bien de Interés Cultural
Royal Gate,Bien de Interés Cultural
Alcántara Bridge,Bien de Interés Cultural
Alconétar Bridge,Bien de Interés Cultural
"Pont Vell, Santa Eulària des Riu",Bien de Interés Cultural
Fortificació de Boí,Bien de Interés Cultural
"St Joseph Seminary, Mark Cross",Grade II listed building
Pig Houses Immediately To North East Of Ford Farmhouse,Grade II listed building
Pigsty Approximately 10 Metres To East Of Middlewood Farmhouse,Grade II listed building
Pigsty 10 Metres West Of Beanley House,Grade II listed building
Pigsty About 10 Metres East Of The Stable About 50 Metres West Of Bodinnick Farmhouse,Grade II listed building
Barn And Dovecot To Hammonds Farm,Grade II listed building
Dovecot And Barn 20 Yards To East Of Manor Farm House,Grade II listed building
Dovecote And Barn Aproximately 25 Metres East Of The Old Rectory,Grade II listed building
"Stable, Barn And Dovecote Approximately 45 Metres South Of Copcourt Manor",Grade II listed building
Dovecote to east of Cefn Henllan Farmhouse,Grade II listed building
Pentrebychan Hall Dovecote,Grade II listed building
Dovecote at Pickhill Old Hall,Grade II listed building
Dovecote at Esgonty Farm,Grade II listed building
Dovecote at Old Rectory,Grade II listed building
Lord Nelson Inn,Grade II listed building
Swingate Inn,Grade II listed building
Church Inn,Grade II listed building
White Swan Inn,Grade II listed building
The Royal Oak Inn,Grade II listed building
The Woolpack Inn,Grade II listed building
The Romany Inn,Grade II listed building
Ymca Hostel,Grade II listed building
Dee Side House Youth Hostel,Grade II listed building
Yha Hostel,Grade II listed building
Anderson's Hostel,Grade II listed building
Girls Hostel,Grade II listed building
Thorney Howe Youth Hostel,Grade II listed building
Mankinholes Hall  Mankinholes Youth Hostel,Grade II listed building
Edmondbyers Youth Hostel,Grade II listed building
Following the Leader,Grade II listed building
Mother and Children Playing,Grade II listed building
Following the Leader,Grade II listed building
Winchester Guildhall,Grade II listed building
"Statue of Godfrey, First Viscount Tredegar",Grade II listed building
Cross Base On North Side Of Lane To St Oswalds,Grade II listed building
Cross,Grade II listed building
Cross Base And Sundial Approximately 21 Metres To North Of Chancel Of Church Of St Mary,Grade II listed building
Cross In Churchyard About 25 Metres South Of Church Of All Saints,Grade II listed building
Cross Approximately 5 Metres South Of South Porch Of Church Of St Peter And St Paul,Grade II listed building
Cross At Sp 1760 9121,Grade II listed building
Cross In Churchyard 14 Yards South Of Door To Chancel,Grade II listed building
K6 Telephone Kiosk To North Of Tyldesley Chapel,Grade II listed building
K2 Telephone Kiosk At Junction With Whitechapel Road,Grade II listed building
Newlands Quay,Grade II listed building
Healey New Mill Including Attached Chimney,Grade II listed building
Imperial War Museum London,Grade II listed building
Stroud Spiritualist Church,Grade II listed building
Former Leeds Central High School,Grade II listed building
Marquess of Linlithgow Memorial,listed on the Victorian Heritage Register
Saint Isaac's Cathedral,cultural heritage site in Russia
Cathedral of the Archangel,cultural heritage site in Russia
Cathedral of the Archangel,cultural heritage site in Russia
Gdov Kremlin,cultural heritage site in Russia
Building 18011-20,Grade B listed building in Acre Israel
Building 18011-20,Grade B listed building in Acre Israel
Rajon Ki Baoli,Monument of National Importance
Agrasen ki Baoli,Monument of National Importance
Adalaj Stepwell,Monument of National Importance
Belfry of Béthune,monument selected by the  Mission d'Identification du Patrimoine Immobilier en Péril (2019)
Abbaye Blanche,registered historic monument
Fontainejean Abbey,registered historic monument
Lavoir de Voutenay-sur-Cure,registered historic monument
Lavoir Saint-Aignan,registered historic monument
Fontaine-lavoir de Montagney,registered historic monument
Site de Fondmarin de Crépy-en-Valois,registered historic monument
Kaknäs,monument in Fornminnesregistret
Kengis,monument in Fornminnesregistret
Borgholm Castle,monument in Fornminnesregistret
Building 18110-1,Grade A listed building in Acre Israel
Building 18110-1,Grade A listed building in Acre Israel
Khan al-Shuna,Grade A listed building in Acre Israel
Khan al-Shuna,Grade A listed building in Acre Israel
Khan al-Shuna,Grade A listed building in Acre Israel
Harike Wetland,Ramsar site
Kawainui and Hamakua Marsh Complex,Ramsar site
Bafing-Source Ramsar Site,Ramsar site
parabolic arch of Claravalls,Cultural Asset of Local Interest
Granite LDS Ward Chapel-Avard Fairbanks Studio,place listed on the National Register of Historic Places
Oregon City Bridge,place listed on the National Register of Historic Places
Yaquina Bay Bridge,place listed on the National Register of Historic Places
Big Creek Bridge,place listed on the National Register of Historic Places
Cotter Bridge,place listed on the National Register of Historic Places
Bridgewater Town Hall and Jail,place listed on the National Register of Historic Places
Sarasota Municipal Auditorium,place listed on the National Register of Historic Places
Pease Auditorium,place listed on the National Register of Historic Places
International Vinegar Museum,place listed on the National Register of Historic Places
Ashwood School Gymnasium and Auditorium,place listed on the National Register of Historic Places
University Avenue Bridge,place listed on the National Register of Historic Places
Morrison Bridge,place listed on the National Register of Historic Places
Hockett Meadow Ranger Station,place listed on the National Register of Historic Places
Horseshoe Lake Ranger Station,place listed on the National Register of Historic Places
Graves Creek Ranger Station,place listed on the National Register of Historic Places
Elkhorn Guard Station,place listed on the National Register of Historic Places
Redwood Meadow Ranger Station,place listed on the National Register of Historic Places
Hockett Meadow Ranger Station,place listed on the National Register of Historic Places
Wild Basin Ranger Station,place listed on the National Register of Historic Places
Warner Valley Ranger Station,place listed on the National Register of Historic Places
Marietta National Cemetery,place listed on the National Register of Historic Places
Golden Gate National Cemetery,place listed on the National Register of Historic Places
Fort Snelling National Cemetery,place listed on the National Register of Historic Places
Fort Sam Houston National Cemetery,place listed on the National Register of Historic Places
Fort Logan National Cemetery,place listed on the National Register of Historic Places
Old Batesburg Grade School,place listed on the National Register of Historic Places
Lenoir Grammar School,place listed on the National Register of Historic Places
Eleventh Street School,place listed on the National Register of Historic Places
Woodbury Graded School,place listed on the National Register of Historic Places
Worcester Village School,place listed on the National Register of Historic Places
Sherman Institute Administration Building,place listed on the National Register of Historic Places
Carmo Convent,National Monument of Portugal
Post mill Beelitz,architectural heritage monument
Jewish Orphanage Berlin-Pankow,architectural heritage monument
St. Hedwig's Cathedral,architectural heritage monument
Funkerberg,architectural heritage monument
Rauhfutterspeicher Schöneiche,architectural heritage monument
Saint sépulcre de Marienthal,Classified object  as historical monument
History of Medea and Jason,Classified object  as historical monument
Tapestries of the Gods,Classified object  as historical monument
The Gods,Classified object  as historical monument
Four Tapestries from 'The Months of Lucas',Classified object  as historical monument
The Child Gardeners,Classified object  as historical monument
The Muses,Classified object  as historical monument
The Story of Marie de Medici,Classified object  as historical monument
Uspenski Cathedral,protected by the Law of the Orthodox Church in Finland
Site du patrimoine Jacques-Cartier,recognized heritage site
Hanson-Taylor-Wright Heritage Site,recognized heritage site
site patrimonial du Quartier-du-Moulin,recognized heritage site
Dorchester Square and Place-du-Canada Heritage Site,recognized heritage site
