Subject,Object
Carnicer Torrejón FS,Pabellón Jorge Garbajosa
Olympiacos,Peace and Friendship Stadium
Rugby Rovigo,Stadio Comunale Mario Battaglini
Nea Salamis Famagusta FC,Ammochostos Stadium
Liverpool F.C.,Anfield
Boavista F.C.,Pavilhão Rosa Mota
2001 Denmark Open Badminton Championships,Farum Arena
2002 Denmark Open Badminton Championships,Farum Arena
SC Freiburg,Möslestadion
Exeter Chiefs,Sandy Park
Gáldar FS,Centro Insular de Deportes
Portland Thorns FC,Providence Park
Tiburones Rojos de Veracruz,"Estadio Luis ""Pirata"" Fuente"
CA Brive,Stade Amédée-Domenech
Pelican Stars F.C.,U. J. Esuene Stadium
Pelican Stars F.C.,U. J. Esuene Stadium
Confluence Queens F.C.,Confluence Stadium
FC Barcelona Futsal,Palau Blaugrana
Leicester Tigers,Welford Road Stadium
Associação Desportiva Jaraguá,Arena Jaraguá
Associação Desportiva Jaraguá,Arena Jaraguá
FC Akhmat Grozny,Akhmat-Arena
Aris Thessalonikis B.C.,Alexandreio Melathron
El Pozo Murcia FS,Palacio de Deportes de Murcia
Inter Milan,San Siro Stadium
Associazione Calcio Milan,San Siro Stadium
Inter Milan,San Siro Stadium
Associazione Calcio Milan,San Siro Stadium
FC Grenoble,Stade des Alpes
Győri ETO Futsal Club,Magvassy Mihály Sportcsarnok
Club Tijuana,Caliente Stadium
Beijing Great Wall,Shougang Gymnasium
Leis 26 Pontevedra FS,Pavillón Municipal dos Deportes de Pontevedra
Henan Phoenix,Luoyang Stadium
RC Toulonnais,Stade Mayol
Växjö DFF,Myresjöhus Arena
AGOVV Apeldoorn,Sportpark Berg & Bos
Worcester Warriors,Sixways Stadium
Bristol Bears,Ashton Gate Stadium
AS Béziers Hérault,Stade Raoul-Barrière
FC Vaslui,Stadionul Municipal
Kopparbergs/Göteborg FC,Valhalla IP
Derry City F.C.,Brandywell Stadium
Guangdong Dolphins,Dalang Arena
