Subject,Object
Syro-Malabar Catholic Eparchy of Rajkot,Malayalam
Japan,Japanese
Japan,Northern Amami Ōshima language
Japan,Tokunoshima language
Trentino-South Tyrol,German
Eparchy of Piana degli Albanesi,Greek
Eparchy of Lungro,Greek
Rio de Janeiro,Cafundó language
Australia,Alyawarr
Australia,Alyawarr
Republic of Cyprus,Turkish
Minas Gerais,Maxakalí
Minas Gerais,Maxakalí
Alberta,Western Ojibwa
Alberta,Tsuutʼina
United States of America,Yokutsan languages
United States of America,Western Apache
United States of America,Spanish
United States of America,Western Apache
United States of America,Western Apache
United States of America,Western Apache
United States of America,Spanish
Ghōr,Aimaq
Bosnia and Herzegovina,Croatian
Bacolod,Tagalog
Bacolod,Tagalog
Makati,Tagalog
Quezon City,Tagalog
Manila,Tagalog
Laghman,Kamkata-viri language
Pará,Sikiana
Pará,Anambé
Pará,Aurá
Philippines,English
United Kingdom,Irish
United Kingdom,English
Philippines,Romblomanon
Philippines,Banao Itneg
Philippines,Mount Iraya Agta language
Israel,English
Canada,French
Tunisia,French
Canada,Dogrib
Canada,Denetaca
Canada,French
Canada,French
Friuli–Venezia Giulia,Friulian
World Esperanto Congress 2001,Esperanto
World Esperanto Congress 1996,Esperanto
World Esperanto Congress 1921,Esperanto
World Esperanto Congress 1974,Esperanto
World Esperanto Congress 1986,Esperanto
World Esperanto Congress 2004,Esperanto
World Esperanto Congress 2009,Esperanto
World Esperanto Congress 2015,Esperanto
World Esperanto Congress 1963,Esperanto
World Esperanto Congress 1933,Esperanto
World Esperanto Congress 1907,Esperanto
World Esperanto Congress 1987,Esperanto
World Esperanto Congress 1960,Esperanto
World Esperanto Congress 1935,Esperanto
World Esperanto Congress 1950,Esperanto
Molise,Slavomolisano
Byzantine Catholic Eparchy of Ruski Krstur,Ruthenian
Liguria,Ligurian
Amazonas,Yuhup
Amazonas,Arap
Amazonas,Paumarí
Amazonas,Waimajã language
Amazonas,Waimajã language
Hungarian Catholic Eparchy of Miskolc,Hungarian
Ukrainian Greek Catholic Eparchy of Buchach,Ukrainian
Ukrainian Catholic Eparchy of Kolomyia,Ukrainian
Macedonian Catholic Eparchy of the Blessed Virgin Mary Assumed in Strumica-Skopje,Albanian
Maidan Wardak,Wasi-wari
Eparchy of Bratislava,Slovak
Quebec,Western Abnaki
Quebec,Western Abnaki
Jowzjan,Turkmen
Mato Grosso,Bororo language
Cagayan de Oro,Subanon language
