Subject,Object
Gilmer County,"National Register of Historic Places listings in Gilmer County, West Virginia"
Muskogee County,"National Register of Historic Places listings in Muskogee County, Oklahoma"
Alamosa County,"National Register of Historic Places listings in Alamosa County, Colorado"
Mingo County,"National Register of Historic Places listings in Mingo County, West Virginia"
Grant County,"National Register of Historic Places listings in Grant County, West Virginia"
Landeck,"Cultural heritage monuments in Landeck, Tyrol"
Adams County,"National Register of Historic Places listings in Adams County, Pennsylvania"
Přibyslav,Cultural monuments in Přibyslav
Schönwald,Cultural heritage monuments in Schönwald
Allegheny County,"National Register of Historic Places listings in Allegheny County, Pennsylvania"
Summit County,"National Register of Historic Places listings in Summit County, Colorado"
La Plata County,"National Register of Historic Places listings in La Plata County, Colorado"
Mercer County,"National Register of Historic Places listings in Mercer County, West Virginia"
Cheyenne County,National Register of Historic Places listings in Colorado
Dolores County,National Register of Historic Places listings in Colorado
Phillips County,National Register of Historic Places listings in Colorado
Kit Carson County,National Register of Historic Places listings in Colorado
Mineral County,National Register of Historic Places listings in Colorado
Baca County,National Register of Historic Places listings in Colorado
Sedgwick County,National Register of Historic Places listings in Colorado
Baca County,National Register of Historic Places listings in Colorado
Cheyenne County,National Register of Historic Places listings in Colorado
Baca County,National Register of Historic Places listings in Colorado
Lewis County,"National Register of Historic Places listings in Lewis County, West Virginia"
Chester County,"National Register of Historic Places listings in Chester County, Pennsylvania"
Okfuskee County,"National Register of Historic Places listings in Okfuskee County, Oklahoma"
McCurtain County,"National Register of Historic Places listings in McCurtain County, Oklahoma"
Weißenkirchen in der Wachau,Cultural heritage monuments in Weißenkirchen in der Wachau
Feldkirch,list of cultural heritage buildings in the city of Feldkirch
Costilla County,"National Register of Historic Places listings in Costilla County, Colorado"
Salzburg,listed objects in Salzburg
Hidalgo County,"National Register of Historic Places listings in Hidalgo County, Texas"
Mesa County,"National Register of Historic Places listings in Mesa County, Colorado"
Jackson County,"National Register of Historic Places listings in Jackson County, West Virginia"
Jackson County,"National Register of Historic Places listings in Jackson County, West Virginia"
Bridge of Allan,"list of listed buildings in Bridge Of Allan, Stirling"
Tyler County,"National Register of Historic Places listings in Tyler County, Texas"
Windigsteig,Cultural heritage monuments in Windigsteig
Marion County,"National Register of Historic Places listings in Marion County, West Virginia"
Conejos County,"National Register of Historic Places listings in Conejos County, Colorado"
Conejos County,"National Register of Historic Places listings in Conejos County, Colorado"
Greenbrier County,"National Register of Historic Places listings in Greenbrier County, West Virginia"
Emmerich am Rhein,list of cultural heritage monuments in Emmerich am Rhein
Kempten,list of natural monuments in Kempten (Allgäu)
Blairgowrie and Rattray,"list of listed buildings in Blairgowrie And Rattray, Perth and Kinross"
Hardin County,"National Register of Historic Places listings in Hardin County, Texas"
Kanawha County,"National Register of Historic Places listings in Kanawha County, West Virginia"
Raspenava,Cultural monuments in Raspenava
Pram,"Cultural heritage monuments in Pram, Upper Austria"
Trutnov,Cultural monuments in Trutnov
Payne County,"National Register of Historic Places listings in Payne County, Oklahoma"
Ballater,"list of listed buildings in Ballater, Aberdeenshire"
Pleasants County,"National Register of Historic Places listings in Pleasants County, West Virginia"
"Ebenthal, Lower Austria","Cultural heritage monuments in Ebenthal, Lower Austria"
McClain County,"National Register of Historic Places listings in McClain County, Oklahoma"
Delta County,"National Register of Historic Places listings in Delta County, Colorado"
Wolfsbach,"Cultural heritage monuments in Wolfsbach, Lower Austria"
Delaware County,"National Register of Historic Places listings in Delaware County, Pennsylvania"
Schwaz,Cultural heritage monuments in Schwaz
Montour County,"National Register of Historic Places listings in Montour County, Pennsylvania"
Logan County,"National Register of Historic Places listings in Logan County, Colorado"
Logan County,"National Register of Historic Places listings in Logan County, West Virginia"
Mason County,"National Register of Historic Places listings in Mason County, West Virginia"
Las Animas County,"National Register of Historic Places listings in Las Animas County, Colorado"
Real County,"National Register of Historic Places listings in Real County, Texas"
Pontotoc County,"National Register of Historic Places listings in Pontotoc County, Oklahoma"
St Andrews,"list of listed buildings in St Andrews, Fife"
