Subject,Object
Watch House Terrace,"66–80 Erskine Street, Sydney NSW 2000"
38 Clergy Street,"38 Clergy Street 38, 40 and 42 Clergy Street"
Sarasota Municipal Auditorium,801 North Tamiani Trail
Wellington Square Townhouses,780 Wellington Street East
Hippodrome & Grand Theatre,"Trinity Street/Corporation Street, Stalybridge, Greater Manchester, SK 15, England"
"140–142 Cumberland Street, The Rocks","140–142 Cumberland Street, Sydney NSW 2000"
St. John's Seminary,"5012 Seminary Rd, Camarillo, CA, 93012-2500"
Bellevue Apartments,10 Patterson Street
"University of California, Davis",One Shields Avenue
Skinners Family Hotel,"296 George Street, Sydney NSW 2000"
St. Vincent de Paul Regional Seminary,"10701 South Military Trail, Boynton Beach, FL, 33436-4899"
285 Park Street North,285 Park Street North
University of Saint Mary of the Lake,"1000 E Maple Ave, Mundelein, IL, 60060-1174"
International Vinegar Museum,510 Main Street
SunTrust Plaza,"303 Peachtree Street, Atlanta, GA, United States"
287 Park Street North,287 Park Street North
481 Bolivar Street,481 Bolivar Street
Old BNZ Building,"239-247 Lambton Quay, Wellington, 6011"
Rideau Terrace,2-8 Rideau Terrace
Auckland War Memorial Museum,"The Auckland Domain, Parnell, Auckland 1010"
Auckland War Memorial Museum,"The Auckland Domain, Parnell, Auckland 1010"
485½ Bolivar Street,485½ Bolivar Street
Saint Joseph Seminary College,"75376 River Road, St. Benedict, LA, 70457"
Pease Auditorium,College Place
Montgomery County Executive Office Building,"101 Monroe Street, Rockville, MD 20850 U.S."
Sacred Heart School of Theology,"7335 S Hwy 100, Franklin, WI, 53132"
485 Bolivar Street,485 Bolivar Street
569 Bolivar Street,569 Bolivar Street
487 Bolivar Street,487 Bolivar Street
217-221 Stuart Street,"217-221 Stuart Street 217, 219 and 221 Stuart Street"
Saint John's Seminary,"127 Lake Street, Brighton, MA, 02135-3846"
Saint John's Seminary,"127 Lake Street, Brighton, MA, 02135-3846"
Old Barrington Meeting House,2408 Highway 3
Millennium Tower,"301 Mission Street, San Francisco, Kalifornie"
Heartz-O'Halloran Row,76-88 Great George Street
Saint Meinrad Seminary and School of Theology,"200 Hill Drive, St. Meinrad, IN, 47577"
Grand Trunk Railway Terrace,"1, 3 and 5 Cassidy Street"
283 Park Street North,283 Park Street North
University of North Carolina at Chapel Hill,"103 South Bldg Cb 9100, Chapel Hill, NC, 27599"
University of North Carolina at Chapel Hill,"103 South Bldg Cb 9100, Chapel Hill, NC, 27599"
University of North Carolina at Chapel Hill,"103 South Bldg Cb 9100, Chapel Hill, NC, 27599"
University at Buffalo,"12 Capen Hall, Buffalo, NY, 14260-1660"
71-75 Mowat Avenue,"71-75 Mowat Avenue (Portsmouth) 71, 73, 75 Mowat Avenue"
567 King Street,567 King Street
483 Bolivar Street,483 Bolivar Street
568 Charlotte Street,568 Charlotte Street
St. Bernard's School of Theology and Ministry,"120 French Road, Rochester, NY, 14618"
St. Bernard's School of Theology and Ministry,"120 French Road, Rochester, NY, 14618"
572 Charlotte Street,572 Charlotte Street
Saint Vincent Seminary,"300 Fraser Purchase Rd, Latrobe, PA, 15650-2690"
Imperial War Museum London,Lamberth Road
"3–9 High Street, Millers Point","3–9 High Street, Millers Point NSW 2000"
40 Clergy Street,"40 Clergy Street 38, 40 and 42 Clergy Street"
"University of California, Berkeley","200 California Hall, Berkeley, CA, 94720"
"University of California, Berkeley","200 California Hall, Berkeley, CA, 94720"
"University of California, Berkeley","200 California Hall, Berkeley, CA, 94720"
University of Oregon,"110 Johnson Hall, Eugene, OR, 97403"
University of Oregon,"110 Johnson Hall, Eugene, OR, 97403"
489 Bolivar Street,489 Bolivar Street
Fire Station Inn,"82 Tynte Street, North Adelaide"
479 Bolivar Street,479 Bolivar Street
University of Virginia,"1827 University Avenue, Charlottesville, VA, 22903-2628"
University of Virginia,"1827 University Avenue, Charlottesville, VA, 22903-2628"
University of Virginia,"1827 University Avenue, Charlottesville, VA, 22903-2628"
University of Virginia,"1827 University Avenue, Charlottesville, VA, 22903-2628"
University of Virginia,"1827 University Avenue, Charlottesville, VA, 22903-2628"
Granite LDS Ward Chapel-Avard Fairbanks Studio,9800 South 3100 East
St. Charles Borromeo Seminary,"100 East Wynnewood Road, Wynnewood, PA, 19096"
574 Charlotte Street,574 Charlotte Street
African Meeting House,8 Smith Court
573 Bolivar Street,573 Bolivar Street
575 King Street,575 King Street
Tilbury Fort,"Fort Road, Tilbury, Thurrock RM18 7NR"
97-101 Yonge Street,97-101 Yonge Street (Portsmouth)
St. John Vianney College Seminary,"2900 SW 87th Ave, Miami, FL, 33165-3244"
