Subject,Object
Rabenauer Grund power station,Red Weißeritz
East Stack,Hoseason Glacier
Buckingham,River Great Ouse
Point Roe,Swan River
Chidley Point,Swan River
Butler Hump,Swan River
Punta Judibana,Amuay bay
Oxford,Cherwell
Oxford,River Thames
Ourense,Minho River
Israel,Dead Sea
Posadas,Paraná River
Corrientes,Paraná River
Posadas,Paraná River
Anholt Offshore Wind Farm,Kattegat
Hradec Králové,Elbe
Ústí nad Labem,Elbe
Hradec Králové,Elbe
Ústí nad Labem,Elbe
Hradec Králové,Elbe
Ústí nad Labem,Elbe
Hradec Králové,Elbe
Ústí nad Labem,Elbe
Hradec Králové,Elbe
Ústí nad Labem,Elbe
Hradec Králové,Elbe
Klautzke-See und Waldmoore mit Kobbelke,Klautzkesee
Phelps Rock,French Passage
Sieg,Sieg
Shippan Point,Long Island Sound
Bergwiesen Lippe mit Buchheller- und Mischebachtal,Buchheller
Feldkirch,Ill
Nova Gorica,Soča
Kyoto metropolitan area,Lake Biwa
Beacon of Home cape,Atlantic Ocean
Beacon of Punta Couso,Atlantic Ocean
Beacon of Tampo island,Atlantic Ocean
Beacon of Rúa island,Atlantic Ocean
United States of America,Atlantic Ocean
Canada,Atlantic Ocean
Viveiro,Atlantic Ocean
Pontevedra,Atlantic Ocean
Viveiro,Atlantic Ocean
Las Palmas de Gran Canaria,Atlantic Ocean
Massachusetts,Atlantic Ocean
New Hampshire,Atlantic Ocean
Maine,Atlantic Ocean
Massachusetts,Atlantic Ocean
Florida,Atlantic Ocean
United States of America,Atlantic Ocean
Canada,Pacific Ocean
Japan,Pacific Ocean
United States of America,Atlantic Ocean
Canada,Arctic Ocean
United States of America,Pacific Ocean
Canada,Arctic Ocean
United States of America,Pacific Ocean
United States of America,Arctic Ocean
Canada,Great Lakes
United States of America,Pacific Ocean
Cabo San Lucas,Pacific Ocean
Frankfurt,Oder
Frankfurt,Oder
Frankfurt,Oder
Görlitz,Lusatian Neisse
Görlitz,Lusatian Neisse
Shrewsbury,River Severn
Catherine Point,Indian Ocean
Currie Point,Indian Ocean
Böfinger Halde power station,Danube
Philippines,Philippine Sea
Philippines,Philippine Sea
Philippines,Philippine Sea
Philippines,Philippine Sea
Estay Rock,Bransfield Strait
Estay Rock,Bransfield Strait
Pietarsaari lighthouse,Bothnian Bay
Tunisia,Mediterranean Sea
Es Mercadal,Mediterranean Sea
Es Castell,Mediterranean Sea
Llucmajor,Mediterranean Sea
Capdepera,Mediterranean Sea
Sant Lluís,Mediterranean Sea
Santa Margalida,Mediterranean Sea
Es Migjorn Gran,Mediterranean Sea
Sant Josep de sa Talaia,Mediterranean Sea
Santanyí,Mediterranean Sea
Sant Joan de Labritja,Mediterranean Sea
Santa Eulària des Riu,Mediterranean Sea
Sant Llorenç des Cardassar,Mediterranean Sea
Ferreries,Mediterranean Sea
Hirschaid power station,Rhine-Main-Danube Canal
Vallinsgrundet,Bothnian Sea
Hällgrund,Bothnian Sea
Wasserburg power station,Inn
Landeck,Inn
Schwaz,Inn
Bantolinao Point Lighthouse,Mactan Channel
Örngrund,Mysingen
Veja Mate Offshore Wind Farm,North Sea
Greater Gabbard wind farm,North Sea
Nordsee Ost offshore wind farm,North Sea
Koll Rock,Oom Bay
London Array,Thames estuary
Carreño,Cantabrian Sea
Castrillón,Cantabrian Sea
Avilés,Cantabrian Sea
Gijón,Cantabrian Sea
Castropol,Cantabrian Sea
Villaviciosa,Cantabrian Sea
Castrillón,Cantabrian Sea
Castropol,Cantabrian Sea
Ribadesella,Cantabrian Sea
Llanes,Cantabrian Sea
Gozón,Cantabrian Sea
Castrillón,Cantabrian Sea
Cube Rock,Antarctic Sound
Cube Rock,Antarctic Sound
Wummsee und Twernsee,Großer Wummsee
Gornja Radgona,Mur
Gornja Radgona,Mur
Salzburg,Salzach
