Subject,Object
Uvs Province,UTC+07:00
Khovd Province,UTC+07:00
Scarborough,Greenwich Mean Time
Abdulinsky District,UTC+05:00
Arovo,UTC+05:00
Pakhtaabad District,UTC+05:00
Shakhrihon District,UTC+05:00
Asaka District,UTC+05:00
Vabkent District,UTC+05:00
Brașov,Eastern European Summer Time
Atlanta,UTC−05:00
Acworth,UTC−05:00
Albany,UTC−05:00
Athens,UTC−05:00
Gainesville,UTC−05:00
Acworth,UTC−05:00
Albany,UTC−05:00
Athens,UTC−05:00
Augusta,UTC−05:00
Washington,UTC−05:00
Santa Elena Province,UTC−05:00
Azuay Province,UTC−05:00
Guayas Province,UTC−05:00
Pichincha Province,UTC−05:00
Illorsuit,UTC−03:00
Minas Gerais,UTC−03:00
Amazonas,UTC−05:00
Pará,UTC−03:00
Amazonas,UTC−05:00
Pará,UTC−03:00
Amazonas,UTC−04:00
Rio de Janeiro,UTC−03:00
Pará,UTC−03:00
Goiás,UTC−03:00
Mato Grosso,UTC−04:00
Amazonas,UTC−05:00
Minas Gerais,UTC−03:00
Amazonas,UTC−04:00
Valdivia,UTC−04:00
Temuco,UTC−04:00
Punta Arenas,UTC−03:00
Osorno,UTC−04:00
Puerto Montt,UTC−04:00
Valparaíso,UTC−04:00
Viña del Mar,UTC−04:00
Valdivia,UTC−04:00
Temuco,UTC−04:00
Punta Arenas,UTC−03:00
Osorno,UTC−04:00
Puerto Montt,UTC−04:00
Valparaíso,UTC−04:00
La Serena,UTC−04:00
Iquique,UTC−04:00
Juan Fernández,UTC−04:00
Antuco,UTC−04:00
Alto Bío Bío,UTC−04:00
Aysén,UTC−04:00
Arauco,UTC−04:00
Alto del Carmen,UTC−04:00
Caldera,UTC−04:00
Hualqui,UTC−03:00
Coronel,UTC−03:00
Hualqui,UTC−04:00
Coronel,UTC−04:00
Indianapolis,UTC−04:00
Indianapolis,UTC−04:00
Carvel Rock,UTC−04:00
Greenbelt,UTC−05:00
Greenbelt,UTC−05:00
Fort Wayne,UTC−05:00
Stoylovsky,UTC+04:00
Starorechensky,UTC+04:00
Sennoy,UTC+04:00
Senichkin,UTC+04:00
Naryn District,UTC+06:00
Kochkor District,UTC+06:00
At-Bashi District,UTC+06:00
Toguz-Toro District,UTC+06:00
Naryn District,UTC+06:00
Ysyk-Ata District,UTC+06:00
Chuy District,UTC+06:00
Moskovsky District,UTC+06:00
Dornod Province,UTC+08:00
