Subject,Object
Zlyden,Umbriel
Albano Lacus,Titan
Logtak Lacus,Titan
Cayuga Lacus,Titan
Atitlán Lacus,Titan
Lanao Lacus,Titan
Freeman Lacus,Titan
Junín Lacus,Titan
Towada Lacus,Titan
Cardiel Lacus,Titan
Ohrid Lacus,Titan
Mývatn Lacus,Titan
Sevan Lacus,Titan
Rhexenor,Tethys
Poseidon,Tethys
Polycaste,Tethys
Philoetius,Tethys
Phemius,Tethys
Periboea,Tethys
Ormenus,Tethys
Oenops,Tethys
Nestor,Tethys
Bruttia,4 Vesta
Bellicia,4 Vesta
Arruntia,4 Vesta
Antonia,4 Vesta
Angioletta,4 Vesta
Alypia,4 Vesta
Albia,4 Vesta
Albana,4 Vesta
Africana,4 Vesta
Aelia,4 Vesta
Aconia,4 Vesta
