Subject,Object
Kermeter,Kermeter
Coyote Valley Trail,Kawuneeche Valley
Himmelsberg,Himmelsberg
Osvatn power station,Osterøy
Møllefossen power station,Osterøy
Botnvika,Nordaustlandet
Santa Elena Canyon Trail,Santa Elena Canyon
Sant Josep de sa Talaia,Ibiza
Sant Joan de Labritja,Ibiza
Santa Eulària des Riu,Ibiza
Carvel Rock,Virgin Islands
Es Mercadal,Menorca
Es Castell,Menorca
Sant Lluís,Menorca
Es Migjorn Gran,Menorca
Ferreries,Menorca
Ækongen,Svalbard
Granfors Hydroelectric Power Station,Skellefte River
Rubers Law,Rubers Law
Rubers Law,Rubers Law
Greifswalder Oie,Greifswalder Oie
North Pond Wildlife Trail,Pea Island
Trøllhøvdi,Faroe Islands
Lava Cast Forest Trail,Lava Cast Forest
Las Palmas de Gran Canaria,Gran Canaria
Wild Basin Trail,"Wild Basin, Rocky Mountain National Park"
Chumphon Bay,Gulf of Thailand
Arthur's Seat,Arthur's Seat
La Grande Soufrière,Basse-Terre Island
Long House Loop Trail,Wetherill Mesa
Long House Loop,Wetherill Mesa
Hurricane Patricia,Northeast Pacific Basin
Blackford Hill,Blackford Hill
Big Cleaninghole,Hassel Island
Rettbergsaue bei Wiesbaden,Rettbergsaue
Dartmouth power station,Mitta Mitta River
Tuperssuatsiat bay,Tunulliarfik fjord
Peniel Heugh,Peniel Heugh
Hurricane Willa,North-East Pacific Ocean
Hurricane Walaka,North-East Pacific Ocean
Hurricane Lane,North-East Pacific Ocean
Hurricane Marie,North-East Pacific Ocean
Hurricane Genevieve,North-East Pacific Ocean
Hurricane Gilma,North-East Pacific Ocean
Hurricane Emilia,North-East Pacific Ocean
Hurricane Ava,North-East Pacific Ocean
Hurricane Anita,North-East Pacific Ocean
Grasslands Nature Trail,Padre Island
Dubrava Hydroelectric Power Plant,Drava
Dunsinane Hill,Dunsinane Hill
Bonchester Hill,Bonchester Hill
Bonchester Hill,Bonchester Hill
Mount Scenery,Saba
Kinpurney Hill,Kinpurney Hill
A'a Trail,Bonito Lava Flow
The Quill,Sint Eustatius
Woodland Trail,Assateague Island
Refmatonisi Antiparou,Aegean Sea
Tuolumne Grove Trail,Tuolumne Grove
Llucmajor,Majorca
Capdepera,Majorca
Santa Margalida,Majorca
Santanyí,Majorca
Sant Llorenç des Cardassar,Majorca
Cala Figuera,Majorca
Cala Dèntol,Majorca
Es Torrent d'Es Morts,Majorca
Cala Ca's Xirimier,Majorca
Port de Valldemossa,Majorca
Sa Font Figuera,Majorca
Caló de S'Estaca,Majorca
Alcanada,Majorca
S'Algar,Majorca
Broomhillbank Hill,Broomhillbank Hill
Broomhillbank Hill,Broomhillbank Hill
Upper Beaver Meadows Trail,Upper Beaver Meadows
Little Armstrong Bay,Rottnest Island
Arbory Hill,Arbory Hill
