Subject,Object
SS Princess Alice,Caird & Company
MS Norman Atlantic,Cantiere Navale Visentini
Ciudad de Palma,Cantiere Navale Visentini
Teacher's Highland Cream,Beam Inc.
Silja Serenade,STX Finland Oy
ACV-300,FNSS Defence Systems
Sagitta,Nordseewerke
Kobben-class submarine,Nordseewerke
Sprite Remix,The Coca-Cola Company
Mamba,D. H. Morgan Manufacturing
Wild Thing,D. H. Morgan Manufacturing
Lamborghini Diablo,Lamborghini
Cruise Olympia,Fincantieri
Minas Geraes,Armstrong Whitworth
HMS Agincourt,Armstrong Whitworth
HMS Malaya,Armstrong Whitworth
Tulpar,Otokar
Chemical Challenger,Asakawa Shipbuilding
The Bat,Arrow Dynamics
Magnum XL-200,Arrow Dynamics
Desperado,Arrow Dynamics
W. L. Weller,Sazerac Company
Ten High,Sazerac Company
Tushek TS 900H,Tushek&Spigel Supercars
KSR-5,MKB Raduga
Kh-22,MKB Raduga
K21,Doosan Group
Porsche Carrera GT,Porsche
Porsche 959,Porsche
Tilt,Anheuser-Busch
Jaguar XJ220,Jaguar Cars
Italian battleship Giulio Cesare,Ansaldo
Italian battleship Conte di Cavour,Ansaldo
HMS Ulvön,Oskarshamn Shipyard
Honda ST1300,Honda
Honda RC212V,Honda
Honda CT110,Honda
Dardo IFV,Fiat
HMCS Provider,Davie Shipbuilding
HMCS Provider,Davie Shipbuilding
Theo T,Samsung Heavy Industries
Mohammed VI - B,Airbus Defence and Space
Raspberry Pi,RS Components
Skibladner,Motala Verkstad
HMS Sökaren,Motala Verkstad
HMS Sveparen,Motala Verkstad
Tatra T7B5,ČKD
Tatra T2,ČKD
Tatra KT4,ČKD
Stena Nautica,Nakskov Skibsværft
USS Kansas City,Fore River Shipyard
BMP-3,Kurganmashzavod
British Explorer,Hyundai Mipo Dockyard
Champion,Swan Hunter
HMS Örskär,Lindholmen Shipyard
Stolt Ilex,Fukuoka Shipbuilding
Hotel-class submarine,Sevmash
Maserati MC12,Maserati
Blue Jade,STX Offshore & Shipbuilding
Blue Jade,STX Offshore & Shipbuilding
Maersk Nimes,Hyundai Heavy Industries
Cap Harvey,Hyundai Heavy Industries
Cosco Africa,Hyundai Heavy Industries
Cosco America,Hyundai Heavy Industries
Baltic Sunrise,Hyundai Heavy Industries
Delta Queen,William Denny and Brothers
Delta King,William Denny and Brothers
Samsung Gear,Samsung Electronics
Ferrari F50,Ferrari
Ferrari F40,Ferrari
Intimidator,Bolliger & Mabillard
Raging Bull,Bolliger & Mabillard
HMCS Protecteur,Saint John Shipbuilding
Sentinel-1B,Thales Alenia Space
Sentinel-3B,Thales Alenia Space
Sentinel-3A,Thales Alenia Space
Sentinel-3B,Thales Alenia Space
Google Glass,Hon Hai Precision Industry
iPhone 5S,Hon Hai Precision Industry
iPhone 4S,Hon Hai Precision Industry
iPhone 5S,Hon Hai Precision Industry
iPhone 4S,Hon Hai Precision Industry
iPhone 8 Plus,Hon Hai Precision Industry
iPhone X,Hon Hai Precision Industry
iPhone 8,Hon Hai Precision Industry
iPhone 5C,Hon Hai Precision Industry
iPhone 4S,Hon Hai Precision Industry
iPhone 5,Hon Hai Precision Industry
Egyptian Infantry Fighting Vehicle,Arab Organization for Industrialization
Typhoon-class submarine,Rubin Design Bureau
iPhone 11 Pro,Apple Inc.
iPhone 11,Apple Inc.
SMS Helgoland,Howaldtswerke-Deutsche Werft
Type 206 submarine,Howaldtswerke-Deutsche Werft
Disaster Transport,Intamin
Xcelerator,Intamin
Sd.Kfz. 247,Friedrich Krupp AG
Stavanger Eagle,Shin Kurushima Dockyard
SMS Rheinland,AG Vulcan Stettin
SKS Douro,Hyundai Samho Heavy Industries
Resolution class submarine,Vickers
Pixel 2,HTC Corporation
The Roller Coaster,TOGO
Alpen Blitz,Anton Schwarzkopf
Black Hole,Anton Schwarzkopf
Aréthuse-class submarine,Naval Group
Tatra T3,ČKD Tatra
Huawei P series,Huawei
Huawei Mate,Huawei
Foxtrot-class submarine,Admiralty Shipyard
TEHO,Olvi
Huckleberry Finn,Schichau Seebeckwerft
Mitsubishi Type 89 IFV,Komatsu Limited
Los Angeles-class submarine,Newport News Shipbuilding
SAOCOM 1A,INVAP
HMS Utö,Kalmar shipyard
Apple Watch,Quanta Computer
Kawasaki H2 Mach IV,Kawasaki Heavy Industries Motorcycle & Engine
Gerner Maersk,Odense Steel Shipyard
Gerner Maersk,Odense Steel Shipyard
Guy Armoured Car,Guy Motors
MV Erika,Shin Kasado Dockyard
Santa Isabel,Daewoo Shipbuilding & Marine Engineering
MV Prestige,Hitachi
Lazar 3,Yugoimport SDPR
BMD-3,Volgograd Tractor Factory
Tava,PepsiCo
HMS Tjörn,Djupvik shipyard
HMS Vinö,Karlskrona shipyard
HMS Viksten,Karlskrona shipyard
HMS Tärnö,Karlskrona shipyard
HMS Tjurkö,Karlskrona shipyard
Odin,Wilton-Fijenoord
Trafalgar-class submarine,Vickers Shipbuilding and Engineering
Town Branch,Lexington Brewing and Distilling Company
Mercedes-Benz SLR McLaren,Mercedes-Benz
Freccia,Iveco
OA vz. 30,Tatra Trucks
