Subject,Object
chaperone protein DnaJ    Rv2373c,metal ion binding
potassium-transporting ATPase subunit B    Rv1030,metal ion binding
chaperone protein DnaJ    Rv2373c,heat shock protein binding
urease accessory protein UreF    Rv1851,nickel cation binding
urease accessory protein UreF    Rv1851,nickel cation binding
UDP-N-acetylglucosamine--N-acetylmuramyl-,transferase activity
UDP-N-acetylglucosamine--N-acetylmuramyl-,"UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity"
ghrelin,growth hormone-releasing hormone activity
antibacterial peptide LL-37,protein binding
ghrelin,protein binding
antibacterial peptide LL-37,protein binding
30S ribosomal protein S7    Rv0683,RNA binding
30S ribosomal protein S7    Rv0683,RNA binding
thioredoxin reductase    Rv3913,oxidoreductase activity
thioredoxin reductase    Rv3913,oxidoreductase activity
phosphoglycerate kinase    Rv1437,ATP binding
phosphoglycerate kinase    Rv1437,ATP binding
50S ribosomal protein L1    Rv0641,tRNA binding
