Subject,Object
Erendis,Núneth
Tar-Ancalimë,Erendis
Abraham,Amasla'i
Abraham,Amasla'i
Abraham,Amasla'i
Abraham,Amasla'i
Abraham,Amasla'i
Abraham,Amasla'i
Abraham,Amasla'i
Abraham,Amasla'i
Bran Stark,Catelyn Stark
Arya Stark,Catelyn Stark
Bran Stark,Catelyn Stark
Arya Stark,Catelyn Stark
Bran Stark,Catelyn Stark
Arya Stark,Catelyn Stark
Aegina,Metope
Corcyra,Metope
Lisa Simpson,Marge Simpson
Bart Simpson,Marge Simpson
Lisa Simpson,Marge Simpson
Bart Simpson,Marge Simpson
David,Nitzevet
David,Nitzevet
Moses,Jochebed
Moses,Jochebed
Moses,Jochebed
Moses,Jochebed
Moses,Jochebed
Moses,Jochebed
Moses,Jochebed
Moses,Jochebed
Danny Torrance,Wendy Torrance
Danny Torrance,Wendy Torrance
Asterodeia,Tethys
Asterodeia,Tethys
Nereus,Tethys
Tethys,Gaia
Nereus,Gaia
Tethys,Gaia
Ender Wiggin,Theresa Wiggin
Ender Wiggin,Theresa Wiggin
Aragorn,Gilraen
Robert Arryn,Lysa Arryn
Robert Arryn,Lysa Arryn
Robert Arryn,Lysa Arryn
Joseph,Mangel
Joaquin de la Vega,Elena de la Vega
Joaquin de la Vega,Elena de la Vega
