Subject,Object
Strawberry Cirque,Miller Range
Kreiling Mesa,Miller Range
Sýkoř,Žďárské vrchy
Rybenské Perničky,Žďárské vrchy
Sisco Mesa,Wisconsin Range
Haworth Mesa,Wisconsin Range
Orelle,Vanoise massif
Beinn Ìme,Grampian Mountains
Ben Vorlich,Grampian Mountains
Beinn Achaladair,Grampian Mountains
Beinn Ìme,Grampian Mountains
Ben Vorlich,Grampian Mountains
Beinn Achaladair,Grampian Mountains
Ben Vorlich,Grampian Mountains
Beinn Achaladair,Grampian Mountains
Beinn Ìme,Grampian Mountains
Stob Choire Claurigh,Grampian Mountains
Linn Mesa,Southern Cross Mountains
Orlovická hora,Cham-Furth Depression
Bzová,Hostýnsko-vsetínská hornatina
Càrn Eige,Scottish Highlands
Càrn Eige,Scottish Highlands
Càrn Eige,Scottish Highlands
Càrn Eige,Scottish Highlands
Malta Plateau,Victory Mountains
Saint-Colomban-des-Villards,Belledonne
Sgùrr Alasdair,Cuillin
Sgùrr Alasdair,Cuillin
Geoffrey Hills,Raggatt Mountains
Tisůvka,Bohemian-Moravian Highlands
Peperek,Bohemian-Moravian Highlands
Pasecká skála,Bohemian-Moravian Highlands
Malínská skála Sněžné,Bohemian-Moravian Highlands
Valmeinier,Massif des Cerces
Ejnar Mikkelsen Fjeld,Watkins Range
Kuzov,České Středohoří
Valloire,Arves massif
