Subject,Object
Rocky,New Hollywood
The Exorcist,New Hollywood
The Godfather,New Hollywood
The Godfather Part II,New Hollywood
The Godfather,New Hollywood
Night of the Living Dead,New Hollywood
Rocky,New Hollywood
Jaws,New Hollywood
The Godfather Part II,New Hollywood
Halloween,New Hollywood
Design for a portal,Rococo
The Mummy,Pre-Code Hollywood
Design for a decorative detail of a ceiling in Neo-Classical style,neoclassicism
Design for a decorative detail of a ceiling in Neo-Classical style,neoclassicism
Design for a decorative detail of a ceiling in Neo-Classical style,neoclassicism
Design for a decorative detail of a ceiling in Neo-Classical style,neoclassicism
Design for a decorative detail of a ceiling in Neo-Classical style,neoclassicism
Design for a decorative detail of a ceiling in Neo-Classical style,neoclassicism
Appliqué inv. 724,Art Nouveau
Lace sample inv. 851,Art Nouveau
Appliqué inv. 9619,Art Nouveau
Appliqué inv. 9472,Art Nouveau
St John the Baptist and Veronica Diptych,Flemish Primitives
Diptych of Munich,Flemish Primitives
St John the Baptist and Veronica Diptych,Flemish Primitives
Diptych of Munich,Flemish Primitives
