Subject,Object
Supernatural,Favorite Pop/Rock Album
All the Right Reasons,Favorite Pop/Rock Album
All the Right Reasons,Juno Award for Rock Album of the Year
Victory Through Air Power,Academy Award for Best Original Dramatic or Comedy Score
A Christmas Carol,Primetime Emmy Award for Outstanding Lead Actor in a Miniseries or a Movie
The Incredible Hulk,Saturn Award for Best Science Fiction Film
Song of the South,Academy Award for Best Original Musical Score
Mary Poppins,Academy Award for Best Picture
It Takes a Nation of Millions to Hold Us Back,Soul Train Music Award for Best Rap Album
AmeriKKKa's Most Wanted,Soul Train Music Award for Best Rap Album
Gangsta's Paradise,Soul Train Music Award for Best Rap Album
Captain America: The Winter Soldier,Saturn Award for Best Editing
Iron Man,Empire Award for Best Sci-Fi/Fantasy
Captain America: The Winter Soldier,Saturn Award for best production design
Iron Man,Saturn Award for Best Music
Captain America: The Winter Soldier,Saturn Award for Best Music
Iron Man,Saturn Award for Best Actress
Captain America: The Winter Soldier,Saturn Award for the Best Actor
Iron Man,Saturn Award for Best Supporting Actor
Captain America: The Winter Soldier,Saturn Award for Best Supporting Actress
Iron Man,Saturn Award for Best Writing
Captain America: The Winter Soldier,Saturn Award for Best Writing
Buffalo Girls,Primetime Emmy Award for Outstanding Supporting Actor in a Miniseries or a Movie
Mildred Pierce,Primetime Emmy Award for Outstanding Supporting Actor in a Miniseries or a Movie
Who Framed Roger Rabbit,Academy Award for Best Cinematography
Go Ask Alice,Primetime Emmy Award for Outstanding Writing for a Drama Series
