Subject,Object
Vandalism Detection in Wikidata,10
Vandalism Detection in Wikidata,10
Vandalism Detection in Wikidata,10
Vandalism Detection in Wikidata,10
Freden,98
"PDF Reference, fifth edition",1236
"PDF Reference, third edition",978
Madame Bovary,405
Sakuntala,149
Introducing Wikidata to the Linked Data Web,16
Introducing Wikidata to the Linked Data Web,16
"Combining Dictionaries, Wordnets and other Lexical Resources – Advantages and Challenges",4
Open Research Knowledge Graph: Next Generation Infrastructure for Semantic Scholarly Knowledge,4
RDFShape: An RDF playground based on Shapes,4
Open Research Knowledge Graph: Next Generation Infrastructure for Semantic Scholarly Knowledge,4
"Combining Dictionaries, Wordnets and other Lexical Resources – Advantages and Challenges",4
Open Research Knowledge Graph: Next Generation Infrastructure for Semantic Scholarly Knowledge,4
T2WML: Table To Wikidata Mapping Language,4
"PDF Reference, sixth edition",1310
Analysis of Wikipedia's Translation Tool and its uses in Education,8
Classification of Knowledge Organization Systems with Wikidata,8
El la skizlibro,65
"XML Data Encoding Specification for Trusted Data Format, version 3",55
