Subject,Object
basketball at the 2016 Summer Olympics,12
2015–16 Pro12,12
2014–15 Pro12,12
2013–14 Pro 12,12
2012–13 Pro 12,12
2011–12 Pro 12,12
2010–11 Celtic League,12
2016–17 Pro12,12
2016 Ljubljana-Domžale-Ljubljana TT,21
2016 Tour de France,174
2016 Tour de France,174
2009 Volta ao Algarve,174
2009 Volta ao Algarve,174
fencing at the 2016 Summer Olympics,212
2005 European Athletics Indoor Championships,563
Badminton at the 2016 Summer Olympics,172
1983 European Athletics Indoor Championships,260
water polo at the 2016 Summer Olympics,260
1986 European Athletics Indoor Championships,310
2007 European Athletics Indoor Championships,519
2018 Erondegemse Pijl,94
2018 Ladies Tour of Norway,94
2018 Ladies Tour of Norway,121
1928 3-cushion world championship,8
2014 La Flèche Wallonne,198
Modern pentathlon at the 2016 Summer Olympics,72
2018 Himmerland Rundt,73
2018 La Flèche Wallonne,107
2019 Boucles de l'Aulne,112
2019 Boucles de l'Aulne,112
2019 Boucles de l'Aulne,112
2019 Boucles de l'Aulne,112
2019 Boucles de l'Aulne,112
2019 Boucles de l'Aulne,112
2017 La Flèche Wallonne,166
1971 European Athletics Championships,857
1929 3-cushion world championship,7
2019 Ladies Tour of Norway,116
1980 European Athletics Indoor Championships,236
1964 World 3-cushion championship,10
2007–08 Celtic League,10
2008–09 Celtic League,10
2009–10 Celtic League,10
2010 Volta ao Algarve,138
2010 Volta ao Algarve,138
1968 European Indoor Games,205
2017 Tour de France,167
2017 Tour de France,167
2017 Tour de France,167
2018 world 3-cushion championship,48
2017 European Athletics Indoor Championships,525
2018 Skive-Løbet,118
shooting at the 2016 Summer Olympics,390
1969 European Indoor Games,220
2006–07 Celtic League,11
2019 Six Nations Championship,6
2018 Six Nations Championship,6
2017 Six Nations Championship,6
judo at the 2016 Summer Olympics,386
2017 Sundvolden Grand Prix,43
2017 Boucles de l'Aulne,148
2017 Boucles de l'Aulne,148
2017 Boucles de l'Aulne,148
2017 Boucles de l'Aulne,148
2017 Boucles de l'Aulne,148
diving at the 2016 Summer Olympics,136
taekwondo at the 2016 Summer Olympics,128
archery at the 2016 Summer Olympics,128
2017 Ladies Tour of Norway,97
Rowing at the 2016 Summer Olympics,550
1988 European Athletics Indoor Championships,364
2017 Fyen Rundt,90
2019 La Flèche Wallonne,102
1969 European Athletics Championships,674
2017 Ljubljana-Domžale-Ljubljana TT,24
