Subject,Object
legislative body of Carlow County Council,18
legislative body of Roscommon County Council,18
legislative body of Sligo County Council,18
legislative body of Cork County Council,55
legislative body of Mayo County Council,30
legislative body of Kilkenny County Council,24
municipal Chamber of Marabá,20
Bundestag of Germany,709
Dáil Éireann,160
municipal Chamber of Foz do Iguaçu,15
legislative body of Clare County Council,28
municipal Chamber of Viamão,21
municipal Chamber of Imperatriz,21
municipal Chamber of Volta Redonda,21
municipal Chamber of Barueri,21
municipal Chamber of Juazeiro do Norte,21
municipal Chamber of Sumaré,21
municipal Chamber of Várzea Grande,21
municipal Chamber of Gravataí,21
municipal Chamber of Governador Valadares,21
American Samoa House of Representatives,21
House of Commons,650
legislative body of Donegal County Council,37
municipal Chamber of Embu das Artes,17
legislative body of Galway County Council,39
municipal Chamber of Ipatinga,19
municipal Chamber of Taboão da Serra,13
legislative body of Limerick City and County Council,40
legislative body of Kildare County Council,40
legislative body of Limerick City and County Council,40
