Subject,Object
University of North Carolina at Chapel Hill,ibiblio
University of North Carolina at Chapel Hill,Kenan Memorial Stadium
University of North Carolina at Chapel Hill,Tin Can
Azerbaijan,Azerbaijan Tower
Metro-North Railroad,Fordham
Metro-North Railroad,Botanical Garden
Merrill Lynch,City-Hochhaus Leipzig
Merrill Lynch,City-Hochhaus Leipzig
Netherlands,Het Loo Palace
Netherlands,The Milkmaid
Citigroup,Citigroup Center
Citigroup,Citigroup Center
Ticino,Sasso Corbaro Castle
Croatia,Zadar Airport
Croatia,Zadar Airport
Croatia,Zadar Airport
Swedish Football Association,Sweden national football team
Brno,Brno House of Arts
Markham,Markham Pan Am Centre
Tønsberg,Tønsberg Gressbane
Hamar Municipality,Hamar Olympic Amphitheatre
Montenegro,King Nikola's Palace
Montenegro,King Nikola's Palace
Amazonas,Reservatório do Mocó
Amazonas,Amazon Theatre
Amazonas,Vivaldão
Amazonas,Vivaldão
Amazonas,Vivaldão
Hakodate,Chiyogadai Park Stadium
Sberbank of Russia,Volksbank
Sberbank of Russia,Volksbank
Scotiabank,Bears FC
"University of California, Berkeley",California Memorial Stadium
"University of California, Berkeley",AmphibiaWeb
"University of California, Berkeley",How Global Warming Works
Mississauga,Paramount Fine Foods Centre
Jablonec nad Nisou,Chance Arena
Nagano,Minami Nagano Sports Park Stadium
Nagano,Nagano Athletic Stadium
Akita,Akigin Stadium
King,Trisan Centre
Long Island Rail Road,Forest Hills
Long Island Rail Road,Bridgehampton
German Football Association,Germany national football team
University of Oregon,KWVA
University of Oregon,John E. Jaqua Center for Student Athletes
Ukraine,Ukrainian Railways
Mladá Boleslav,Městský stadion
French Football Federation,France women's national under-19 football team
University at Buffalo,Barbara and Jack Davis Hall
Malta,Fort Manoel
Nara,Nara Centennial Hall
Nara,Konoike Athletic Stadium
University of Virginia,John Paul Jones Arena
University of Virginia,Scott Stadium
University of Virginia,WXTJ-LP
University of Virginia,WTJU
University of Virginia,Sheridan Snyder Tennis Center
Canton of Geneva,Stade de Genève
Rio de Janeiro,Estádio Caio Martins
Canton of Vaud,Château Saint-Maire
Georgia,Mikheil Iadze Stadium
Romania,Căile Ferate Române Line 200
Romania,Căile Ferate Române Line 200
Ghana,Cape Coast Castle
Mato Grosso,Arena Pantanal
ABN AMRO,George Best Belfast City Airport
ABN AMRO,George Best Belfast City Airport
České Budějovice,Budvar Arena
Goiás,Estádio Serra Dourada
Minas Gerais,Mineirão
Minas Gerais,Mineirão
"University of California, Davis",The Pavilion
Pará,Estádio Olímpico do Pará
Pará,Estádio Olímpico do Pará
Pará,Estádio Olímpico do Pará
Kongsvinger,Gjemselund Stadion
Vatican City,Port of Ripa Grande and Papal Arsenal
Brampton,CAA Centre
Naha,Okinawa Cellular Stadium
Zurich Insurance Group,Blue Building
North Macedonia,Assembly Palace
